                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9264,                  5.697,                 4.1048,                 0.0001,                0.03397,                  6e-05,                  1e-05,                 3.1948,                 4.9856,                 4.0314,              0.0004125,              0.0004125,              0.0004125
                      1,                 3.2411,                 4.9161,                 3.4364,                0.76874,                0.00117,                0.00056,                0.00015,                 2.8251,                 6.9073,                  3.499,             0.00082373,             0.00082373,             0.00082373
                      2,                 2.8898,                 4.3026,                 2.9441,                0.79183,                0.04108,                0.01864,                0.00505,                 2.6634,                 5.5496,                 3.3006,              0.0012295,              0.0012295,              0.0012295
                      3,                 2.7151,                 3.6758,                 2.7426,                0.80076,                0.07394,                0.02976,                0.00762,                 2.5554,                 3.8824,                 2.9451,              0.0012254,              0.0012254,              0.0012254
                      4,                 2.5768,                 3.3813,                 2.6249,                0.59267,                0.07746,                0.06418,                0.02133,                 2.5364,                  3.429,                 2.9209,              0.0012254,              0.0012254,              0.0012254
                      5,                 2.4801,                 3.1127,                 2.4853,                0.80622,                 0.0446,                0.02933,                   0.01,                 2.6684,                 4.3472,                 2.8505,              0.0012172,              0.0012172,              0.0012172
                      6,                 2.3352,                  2.855,                 2.3895,                 0.8404,                0.07981,                0.09103,                0.03728,                 2.3306,                 4.0285,                 2.8263,               0.001209,               0.001209,               0.001209
                      7,                 2.2872,                 2.8011,                 2.3664,                0.87168,                 0.1162,                0.12153,                0.04397,                 2.3385,                 3.0131,                  2.791,              0.0012008,              0.0012008,              0.0012008
                      8,                  2.218,                 2.6208,                 2.2918,                0.78384,                0.11013,                0.09384,                0.04216,                  2.294,                 3.4956,                 2.7148,              0.0011926,              0.0011926,              0.0011926
                      9,                 2.2271,                 2.5763,                 2.3011,                0.35569,                0.14309,                0.10997,                0.04623,                 2.1631,                 3.3546,                 2.5478,              0.0011844,              0.0011844,              0.0011844
                     10,                  2.103,                 2.4454,                 2.1931,                 0.4123,                0.19416,                0.16191,                0.06622,                 2.1581,                 2.7508,                 2.7163,              0.0011762,              0.0011762,              0.0011762
                     11,                 2.0741,                 2.3503,                 2.1675,                0.01479,                 0.2348,                0.04019,                0.01332,                 2.4941,                 4.4792,                 3.0994,               0.001168,               0.001168,               0.001168
                     12,                  2.067,                 2.2918,                 2.1639,                0.10793,                0.21538,                0.16415,                0.07654,                 2.0732,                 2.6202,                  2.581,              0.0011599,              0.0011599,              0.0011599
                     13,                 2.0252,                 2.2196,                 2.1243,                0.46339,                0.24359,                 0.1669,                0.07343,                 2.1033,                 2.5661,                 2.6096,              0.0011517,              0.0011517,              0.0011517
                     14,                  2.005,                 2.1812,                 2.1041,                 0.4817,                0.17083,                0.15414,                0.06963,                  2.101,                 2.7088,                 2.5805,              0.0011435,              0.0011435,              0.0011435
                     15,                 1.9732,                 2.1489,                 2.1006,                0.47508,                0.14599,                0.17819,                0.07655,                 2.0766,                 2.6062,                 2.6217,              0.0011353,              0.0011353,              0.0011353
                     16,                 1.9626,                 2.1239,                 2.0821,                0.52584,                0.25916,                0.21619,                0.09035,                 2.0312,                 2.5393,                 2.5885,              0.0011271,              0.0011271,              0.0011271
                     17,                 1.9414,                 2.0529,                 2.0691,                0.89984,                0.14924,                 0.1723,                0.07534,                 2.1176,                 2.3251,                 2.6667,              0.0011189,              0.0011189,              0.0011189
                     18,                 1.9557,                 2.0922,                 2.0767,                0.49718,                0.18646,                0.20191,                0.09413,                 2.0441,                 2.3641,                 2.5853,              0.0011107,              0.0011107,              0.0011107
                     19,                 1.8599,                 1.9343,                 2.0088,                0.44812,                0.22534,                0.18681,                0.09641,                 2.0272,                  2.307,                 2.6349,              0.0011025,              0.0011025,              0.0011025
