                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9656,                 5.8063,                 4.1241,                0.00021,                0.04453,                0.00013,                  3e-05,                 3.3182,                  4.955,                 4.0759,              0.0004125,              0.0004125,              0.0004125
                      1,                 3.3106,                  4.963,                 3.4492,                0.50388,                0.01526,                0.00211,                0.00066,                 2.7793,                 5.1083,                 3.7567,             0.00082373,             0.00082373,             0.00082373
                      2,                  2.955,                 4.3737,                 2.9928,                0.78543,                0.03286,                 0.0223,                0.00678,                 2.4842,                 4.0819,                  3.076,              0.0012295,              0.0012295,              0.0012295
                      3,                 2.7195,                 3.6535,                 2.7331,                0.80886,                0.04844,                0.02868,                0.00802,                 2.7131,                   6.22,                 2.9103,              0.0012254,              0.0012254,              0.0012254
                      4,                 2.5833,                 3.2967,                 2.5884,                 0.8201,                0.04577,                0.04471,                 0.0144,                 2.5845,                 4.0174,                 2.9436,              0.0012254,              0.0012254,              0.0012254
                      5,                 2.4577,                 3.0337,                 2.4463,                0.53654,                0.06925,                 0.0545,                0.01806,                 2.3718,                  3.481,                 2.8083,              0.0012172,              0.0012172,              0.0012172
                      6,                 2.3601,                 2.8081,                 2.3747,                0.82108,                0.08099,                0.08047,                0.03561,                 2.3866,                  3.279,                 2.7233,               0.001209,               0.001209,               0.001209
                      7,                 2.2939,                 2.7418,                 2.3411,                0.58843,                0.11854,                0.10541,                0.04005,                 2.2601,                  3.123,                 2.6764,              0.0012008,              0.0012008,              0.0012008
                      8,                 2.2389,                 2.6126,                 2.2867,                0.35356,                0.18337,                0.10398,                0.04199,                 2.4255,                 2.9075,                 2.7225,              0.0011926,              0.0011926,              0.0011926
                      9,                 2.2029,                 2.5798,                 2.2686,                0.55775,                0.12784,                  0.056,                0.01845,                 2.2412,                 3.3949,                 2.6415,              0.0011844,              0.0011844,              0.0011844
                     10,                 2.1058,                 2.3679,                 2.1665,                0.45726,                0.14825,                0.12638,                0.04706,                 2.2036,                 2.8034,                 2.6929,              0.0011762,              0.0011762,              0.0011762
                     11,                 2.0995,                  2.311,                 2.1631,                0.41649,                0.16373,                0.12224,                0.04396,                 2.2822,                  2.768,                 2.7256,               0.001168,               0.001168,               0.001168
                     12,                  2.091,                 2.3102,                 2.1554,                0.41843,                0.19152,                 0.1704,                0.07402,                 2.1592,                 2.5686,                 2.6117,              0.0011599,              0.0011599,              0.0011599
                     13,                 2.0477,                 2.2372,                 2.1149,                0.44692,                0.15189,                 0.1378,                0.05141,                 2.2241,                 2.7468,                 2.7171,              0.0011517,              0.0011517,              0.0011517
                     14,                 2.0382,                 2.2043,                 2.1057,                0.39162,                0.15341,                0.12162,                0.04909,                 2.1404,                 3.0018,                 2.6093,              0.0011435,              0.0011435,              0.0011435
                     15,                 1.9768,                  2.173,                 2.0785,                0.53043,                0.22154,                0.22096,                0.07494,                  2.086,                 2.4721,                 2.6434,              0.0011353,              0.0011353,              0.0011353
