                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.932,                 5.7245,                 4.1074,                 0.0001,                0.03397,                  6e-05,                  1e-05,                 3.3642,                 4.9295,                 3.9716,              0.0004125,              0.0004125,              0.0004125
                      1,                 3.2399,                 4.9101,                 3.4053,                0.50669,                0.00939,                0.00303,                0.00097,                 2.8206,                 6.2077,                 3.7594,             0.00082373,             0.00082373,             0.00082373
                      2,                 2.9177,                 4.3018,                 2.9234,                0.78428,                0.04225,                0.01622,                0.00429,                 2.7199,                  5.514,                 3.1943,              0.0012295,              0.0012295,              0.0012295
                      3,                 2.7241,                 3.6262,                 2.7011,                 0.8344,                 0.0716,                0.06284,                0.02138,                 2.6139,                 3.5558,                 2.8824,              0.0012254,              0.0012254,              0.0012254
                      4,                 2.5594,                  3.278,                 2.5492,                0.83035,                 0.0977,                0.09741,                0.03828,                 2.4107,                 3.5411,                 3.0225,              0.0012254,              0.0012254,              0.0012254
                      5,                 2.4206,                 2.9628,                 2.4092,                0.85684,                0.08333,                0.08989,                 0.0324,                 2.4613,                 3.2182,                 2.8629,              0.0012172,              0.0012172,              0.0012172
                      6,                 2.3218,                 2.7757,                 2.3508,                 0.6124,                0.12881,                0.10022,                0.03451,                 2.2637,                 3.2281,                 2.5589,               0.001209,               0.001209,               0.001209
                      7,                 2.2959,                 2.6998,                 2.3202,                0.83884,                0.07864,                0.06754,                0.02767,                 2.2991,                  3.463,                 2.6151,              0.0012008,              0.0012008,              0.0012008
                      8,                 2.2233,                   2.61,                 2.2628,                0.42208,                0.17687,                0.13947,                 0.0578,                 2.2891,                 2.6658,                  2.723,              0.0011926,              0.0011926,              0.0011926
                      9,                 2.2182,                 2.5485,                 2.2831,                 0.4372,                0.15881,                0.11704,                0.05283,                 2.2393,                 3.0512,                 2.7074,              0.0011844,              0.0011844,              0.0011844
                     10,                 2.0981,                 2.3628,                 2.1729,                0.43952,                0.16831,                0.12677,                0.05422,                 2.2641,                 2.6931,                 2.7153,              0.0011762,              0.0011762,              0.0011762
                     11,                 2.0846,                 2.3252,                 2.1568,                0.43819,                0.21802,                0.14721,                0.06596,                 2.1738,                 2.5632,                 2.5791,               0.001168,               0.001168,               0.001168
                     12,                  2.082,                 2.3346,                 2.1707,                0.45351,                0.18523,                0.14485,                 0.0583,                 2.1575,                  2.882,                 2.6224,              0.0011599,              0.0011599,              0.0011599
                     13,                 2.0401,                  2.212,                 2.1182,                0.53828,                0.17146,                0.17449,                0.07666,                 2.1288,                 3.1716,                 2.5616,              0.0011517,              0.0011517,              0.0011517
