                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8408,                  5.793,                 4.0414,                 0.0001,                0.03397,                  7e-05,                  1e-05,                 3.1639,                 5.6639,                 4.1217,              0.0004125,              0.0004125,              0.0004125
                      1,                 3.3733,                 5.0827,                 3.4923,                0.00082,                0.15113,                0.00132,                0.00036,                 2.8314,                 4.6889,                 3.5652,             0.00082373,             0.00082373,             0.00082373
                      2,                  3.098,                 4.5314,                 3.0884,                0.76504,                0.03052,                0.00597,                0.00161,                 2.7438,                 5.0498,                 3.2828,              0.0012295,              0.0012295,              0.0012295
                      3,                 2.9186,                 3.9254,                 2.8691,                0.75374,                0.02582,                0.00259,                0.00095,                 2.8037,                 4.5009,                  3.058,              0.0012254,              0.0012254,              0.0012254
                      4,                 2.7558,                 3.6011,                  2.726,                0.77189,                0.03756,                0.01397,                0.00477,                 2.5457,                 3.8578,                 3.2969,              0.0012254,              0.0012254,              0.0012254
                      5,                 2.6023,                 3.2597,                 2.5708,                0.77605,                0.04108,                0.01285,                0.00527,                 2.6708,                 4.5189,                 3.1181,              0.0012172,              0.0012172,              0.0012172
                      6,                 2.4881,                 3.0129,                 2.4795,                0.35758,                0.11459,                0.06773,                0.02446,                 2.4366,                 3.1327,                 2.8545,               0.001209,               0.001209,               0.001209
                      7,                 2.4022,                 2.9464,                 2.4206,                0.40485,                0.08941,                 0.0651,                0.02265,                  2.508,                  3.506,                 2.9188,              0.0012008,              0.0012008,              0.0012008
                      8,                 2.3842,                 2.8452,                 2.3855,                0.65289,                 0.1428,                0.08761,                0.02644,                 2.4445,                 3.2893,                 2.7499,              0.0011926,              0.0011926,              0.0011926
                      9,                 2.3367,                 2.7418,                 2.3554,                0.51466,                0.15155,                0.13696,                0.04557,                 2.3618,                 2.7744,                  2.758,              0.0011844,              0.0011844,              0.0011844
                     10,                 2.2436,                 2.5461,                 2.2691,                0.43035,                0.14377,                0.11369,                0.04435,                 2.2942,                 2.8839,                 2.6931,              0.0011762,              0.0011762,              0.0011762
                     11,                 2.1928,                 2.5093,                 2.2374,                0.39672,                0.06369,                0.04593,                  0.019,                 2.3994,                 3.6218,                 2.9042,               0.001168,               0.001168,               0.001168
                     12,                 2.1878,                 2.4493,                 2.2117,                0.45469,                0.15333,                0.13037,                0.04653,                 2.3239,                 2.9219,                 2.7107,              0.0011599,              0.0011599,              0.0011599
                     13,                  2.171,                  2.389,                 2.1862,                0.41942,                0.20189,                0.12379,                0.03934,                 2.2286,                 2.8784,                 2.6695,              0.0011517,              0.0011517,              0.0011517
                     14,                 2.1044,                 2.3164,                 2.1522,                0.35312,                0.21425,                0.13267,                 0.0496,                 2.2396,                 2.5968,                 2.6596,              0.0011435,              0.0011435,              0.0011435
                     15,                 2.0718,                 2.2945,                 2.1382,                 0.4011,                0.12376,                0.06517,                0.01831,                 2.3217,                   3.57,                 2.7756,              0.0011353,              0.0011353,              0.0011353
                     16,                 2.0574,                  2.286,                 2.1265,                0.51164,                0.23024,                0.18352,                0.06644,                 2.2763,                 2.7226,                 2.7512,              0.0011271,              0.0011271,              0.0011271
                     17,                 2.0295,                 2.2314,                 2.1117,                0.52775,                0.25064,                0.17313,                0.06649,                 2.1994,                  2.541,                 2.6294,              0.0011189,              0.0011189,              0.0011189
                     18,                 2.0523,                 2.2438,                 2.1057,                0.44833,                0.20966,                0.16711,                0.06556,                 2.1447,                 2.4922,                 2.6011,              0.0011107,              0.0011107,              0.0011107
                     19,                 1.9881,                 2.1098,                 2.0684,                0.50734,                0.24261,                0.18421,                0.07146,                 2.1578,                 2.5482,                 2.6456,              0.0011025,              0.0011025,              0.0011025
                     20,                 1.9609,                 2.1279,                 2.0615,                0.46085,                0.25111,                0.17746,                0.06919,                 2.1015,                 2.5113,                 2.5958,              0.0010943,              0.0010943,              0.0010943
                     21,                  1.934,                 2.0367,                 2.0114,                0.47537,                0.20797,                0.14704,                0.05404,                 2.2522,                 2.8041,                 2.6907,              0.0010861,              0.0010861,              0.0010861
                     22,                 1.9283,                 2.0174,                 2.0399,                0.53727,                 0.2147,                0.19162,                0.08139,                 2.1161,                 2.3358,                 2.5869,              0.0010779,              0.0010779,              0.0010779
                     23,                 1.9164,                 2.0016,                 1.9976,                0.47602,                0.24285,                0.17521,                0.07314,                 2.0723,                 2.3048,                 2.5389,              0.0010697,              0.0010697,              0.0010697
                     24,                 1.8872,                 1.9571,                 1.9808,                0.48088,                0.30033,                0.17121,                0.06459,                 2.2649,                 2.5994,                 2.7489,              0.0010615,              0.0010615,              0.0010615
                     25,                 1.8912,                 1.9691,                 1.9846,                  0.507,                0.27375,                 0.2077,                0.08311,                 2.1735,                 2.4884,                 2.6118,              0.0010533,              0.0010533,              0.0010533
                     26,                 1.8738,                 1.9392,                 1.9743,                0.48742,                0.29969,                0.24066,                0.10376,                  2.029,                 2.2567,                 2.5323,              0.0010451,              0.0010451,              0.0010451
                     27,                  1.878,                 1.9094,                 1.9378,                0.57273,                 0.2336,                0.24074,                0.10524,                 2.0393,                 2.2334,                  2.556,              0.0010369,              0.0010369,              0.0010369
                     28,                 1.8366,                 1.8464,                 1.9462,                0.45278,                 0.2218,                0.18935,                0.08091,                 2.1196,                 2.2647,                  2.613,              0.0010287,              0.0010287,              0.0010287
                     29,                  1.863,                 1.9196,                 1.9524,                0.44838,                0.25332,                 0.1738,                0.07626,                 2.0748,                  2.436,                 2.5671,              0.0010205,              0.0010205,              0.0010205
                     30,                  1.837,                 1.8683,                  1.931,                0.48587,                0.32641,                0.21975,                0.09504,                 2.0537,                 2.3337,                 2.5064,              0.0010123,              0.0010123,              0.0010123
                     31,                 1.8256,                 1.8121,                 1.9294,                0.54482,                0.30975,                0.26572,                0.11659,                 2.0521,                 2.2965,                 2.5307,              0.0010041,              0.0010041,              0.0010041
                     32,                 1.8283,                 1.8314,                  1.919,                0.48757,                0.28711,                0.21945,                0.09844,                 2.0327,                 2.4113,                 2.4724,             0.00099594,             0.00099594,             0.00099594
