                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9709,                 5.8076,                 4.1276,                0.00012,                0.03514,                  8e-05,                  2e-05,                 3.2838,                 4.9125,                 4.0564,              0.0004125,              0.0004125,              0.0004125
                      1,                 3.3291,                 4.9633,                 3.4493,                0.75702,                0.00822,                0.00192,                0.00062,                 2.8975,                 5.8029,                 3.6417,             0.00082373,             0.00082373,             0.00082373
                      2,                 2.9711,                 4.3972,                  2.998,                0.52525,                0.03052,                0.00873,                0.00236,                  2.746,                 14.542,                 3.3995,              0.0012295,              0.0012295,              0.0012295
                      3,                 2.7737,                  3.762,                 2.7914,                0.00229,                0.30755,                0.00624,                0.00153,                 2.6804,                 4.1815,                 3.2082,              0.0012254,              0.0012254,              0.0012254
                      4,                 2.5939,                 3.3168,                 2.5969,                0.36825,                0.12359,                0.06219,                0.02151,                    nan,                    nan,                    nan,              0.0012254,              0.0012254,              0.0012254
                      5,                 2.4528,                 3.0186,                 2.4508,                0.57703,                0.07394,                 0.0727,                0.02441,                 2.4095,                 3.3209,                  2.832,              0.0012172,              0.0012172,              0.0012172
                      6,                  2.328,                  2.799,                 2.3704,                0.61701,                0.03384,                 0.0415,                0.01399,                 2.3283,                 3.4939,                 2.7996,               0.001209,               0.001209,               0.001209
                      7,                 2.3098,                 2.6766,                 2.3416,                0.83639,                 0.0911,                0.11555,                0.03812,                 2.2738,                 3.0229,                   2.68,              0.0012008,              0.0012008,              0.0012008
                      8,                 2.2332,                 2.5876,                  2.284,                0.57588,                0.13732,                0.10467,                0.04046,                 2.3506,                  3.122,                 2.7195,              0.0011926,              0.0011926,              0.0011926
                      9,                 2.2171,                   2.55,                 2.2717,                0.88951,                0.10094,                0.14807,                0.06214,                 2.2667,                  2.918,                  2.596,              0.0011844,              0.0011844,              0.0011844
                     10,                 2.1425,                 2.4407,                 2.1946,                  0.624,                0.11972,                0.14832,                0.06313,                  2.167,                 2.7682,                 2.5822,              0.0011762,              0.0011762,              0.0011762
                     11,                 2.1417,                 2.3832,                  2.183,                0.61208,                 0.1115,                0.12129,                0.04754,                 2.3622,                 2.7648,                 2.7366,               0.001168,               0.001168,               0.001168
                     12,                 2.1089,                 2.3197,                 2.1665,                0.46473,                0.18028,                0.14193,                0.05751,                 2.2815,                 2.4387,                 2.7155,              0.0011599,              0.0011599,              0.0011599
                     13,                 2.0571,                 2.2278,                 2.1278,                0.51802,                0.19384,                0.19018,                0.07354,                 2.1288,                 2.5546,                 2.6316,              0.0011517,              0.0011517,              0.0011517
                     14,                 2.0355,                 2.2154,                 2.1109,                0.50442,                0.22303,                0.20552,                0.07855,                   2.17,                 2.4482,                 2.6535,              0.0011435,              0.0011435,              0.0011435
                     15,                 1.9799,                 2.1418,                 2.0891,                 0.4771,                0.16357,                0.12777,                0.04315,                 2.2428,                 2.9225,                 2.7298,              0.0011353,              0.0011353,              0.0011353
