                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9867,                 5.8313,                 4.1502,                0.00011,                0.03397,                  7e-05,                  1e-05,                 3.2204,                 5.4602,                 4.1162,              0.0004125,              0.0004125,              0.0004125
                      1,                 3.4804,                 5.1197,                 3.6441,                0.00052,                0.13554,                0.00089,                0.00027,                  2.947,                 4.6818,                 3.5994,             0.00082373,             0.00082373,             0.00082373
                      2,                 3.1544,                 4.6394,                 3.1511,                0.75822,                0.01056,                 0.0047,                0.00136,                 2.7982,                  4.451,                 3.2558,              0.0012295,              0.0012295,              0.0012295
                      3,                 2.9461,                 3.9881,                 2.8718,                0.78784,                0.04695,                0.02683,                 0.0071,                  2.553,                 4.2353,                 3.1501,              0.0012254,              0.0012254,              0.0012254
                      4,                 2.7675,                 3.5865,                 2.7178,                0.54694,                0.03286,                0.02675,                0.00853,                 2.5928,                 3.8214,                 3.0368,              0.0012254,              0.0012254,              0.0012254
                      5,                 2.6069,                 3.2993,                 2.5379,                0.81682,                0.06338,                 0.0441,                0.01747,                 2.6259,                  3.789,                 2.8057,              0.0012172,              0.0012172,              0.0012172
                      6,                   2.48,                 3.0251,                 2.4404,                0.59256,                0.06094,                0.05918,                0.01813,                 2.5204,                 3.7291,                 2.9685,               0.001209,               0.001209,               0.001209
                      7,                 2.4114,                 2.9125,                 2.4056,                0.58267,                0.16481,                0.08496,                0.03279,                 2.4557,                 3.2511,                 2.7345,              0.0012008,              0.0012008,              0.0012008
                      8,                 2.3702,                 2.8237,                 2.3621,                0.38868,                0.14846,                0.06838,                0.02586,                 2.4958,                 3.5833,                 2.8743,              0.0011926,              0.0011926,              0.0011926
                      9,                 2.3659,                 2.7706,                 2.3686,                0.57537,                 0.0754,                0.06559,                0.02287,                 2.5245,                 3.3211,                 2.8074,              0.0011844,              0.0011844,              0.0011844
                     10,                 2.2531,                 2.5635,                 2.2723,                0.42368,                0.14748,                0.11293,                0.03989,                 2.3381,                 3.0244,                 2.7529,              0.0011762,              0.0011762,              0.0011762
                     11,                 2.2176,                  2.495,                 2.2569,                0.43606,                0.05128,                0.06367,                0.01749,                 2.4954,                 3.8264,                 2.8653,               0.001168,               0.001168,               0.001168
                     12,                 2.1888,                 2.4833,                 2.2249,                0.36697,                0.15307,                0.08616,                 0.0285,                 2.3336,                 3.1149,                  2.775,              0.0011599,              0.0011599,              0.0011599
                     13,                 2.1737,                 2.3795,                 2.2149,                0.43832,                0.14917,                0.11451,                0.04481,                 2.3314,                 2.9819,                 2.7957,              0.0011517,              0.0011517,              0.0011517
                     14,                 2.1224,                 2.3679,                 2.1666,                0.47276,                0.18502,                0.14116,                0.05572,                 2.2241,                 2.9081,                 2.6519,              0.0011435,              0.0011435,              0.0011435
