                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9414,                 5.2251,                 4.0974,                0.00016,                0.04593,                 0.0001,                  2e-05,                 3.5436,                 4.7577,                 4.1062,              0.0004125,              0.0004125,              0.0004125
                      1,                 3.3756,                 4.7094,                   3.52,                0.00066,                0.18387,                 0.0012,                0.00044,                 2.7577,                 4.5374,                 3.5566,             0.00082373,             0.00082373,             0.00082373
                      2,                 3.1009,                 4.2889,                 3.1487,                0.79247,                0.01056,                 0.0068,                0.00202,                  2.989,                 4.9681,                 3.3963,              0.0012295,              0.0012295,              0.0012295
                      3,                 2.8964,                 3.8086,                 2.8944,                0.00236,                0.26461,                0.00558,                0.00161,                 2.9249,                 4.0761,                 3.3642,              0.0012254,              0.0012254,              0.0012254
                      4,                 2.7349,                 3.4963,                 2.7438,                0.82814,                0.02934,                0.03201,                0.01244,                  2.717,                 3.7479,                 3.1233,              0.0012254,              0.0012254,              0.0012254
                      5,                 2.6193,                 3.1696,                 2.5874,                0.55875,                0.02347,                0.02198,                0.00678,                 2.7659,                 4.0914,                 3.2189,              0.0012172,              0.0012172,              0.0012172
                      6,                 2.4722,                 2.9101,                 2.5005,                0.00715,                0.36629,                0.02056,                0.00702,                 2.5941,                 4.1094,                 3.1059,               0.001209,               0.001209,               0.001209
                      7,                 2.4208,                 2.8578,                 2.4629,                 0.6323,                 0.0713,                0.05129,                0.01401,                 2.6895,                 3.5254,                  3.126,              0.0012008,              0.0012008,              0.0012008
                      8,                 2.3791,                 2.7464,                 2.3916,                0.85292,                0.09155,                 0.0908,                0.02993,                 2.5063,                 3.0112,                 2.8924,              0.0011926,              0.0011926,              0.0011926
                      9,                 2.3265,                 2.6949,                 2.3598,                0.86288,                 0.0889,                 0.0899,                0.02974,                 2.3935,                 3.0824,                 2.8475,              0.0011844,              0.0011844,              0.0011844
                     10,                 2.2416,                 2.5095,                 2.2827,                0.34347,                0.16148,                0.11672,                0.03784,                  2.346,                 2.8695,                 2.9026,              0.0011762,              0.0011762,              0.0011762
                     11,                 2.1844,                 2.4457,                 2.2553,                0.35888,                0.16458,                 0.1044,                0.03445,                 2.3821,                 2.7622,                 2.8723,               0.001168,               0.001168,               0.001168
                     12,                 2.1689,                 2.4016,                 2.2311,                0.32781,                 0.1159,                0.06138,                0.01864,                 2.5437,                 3.0734,                 2.9325,              0.0011599,              0.0011599,              0.0011599
                     13,                 2.1594,                 2.3311,                 2.2178,                0.33634,                0.18755,                0.09108,                0.02894,                 2.4396,                 2.9423,                 2.7995,              0.0011517,              0.0011517,              0.0011517
                     14,                 2.1394,                 2.3004,                 2.2101,                0.42848,                0.13621,                0.10095,                0.03507,                 2.4169,                 2.8963,                  2.832,              0.0011435,              0.0011435,              0.0011435
                     15,                 2.0744,                 2.2426,                 2.1744,                0.34816,                0.12441,                0.11258,                0.03855,                 2.3241,                 2.8631,                 2.7581,              0.0011353,              0.0011353,              0.0011353
                     16,                 2.0508,                 2.2271,                 2.1462,                0.42477,                0.22303,                0.15093,                0.05462,                 2.3346,                 2.6332,                 2.7868,              0.0011271,              0.0011271,              0.0011271
                     17,                 2.0451,                 2.1893,                 2.1378,                0.46394,                0.21968,                 0.1708,                0.05811,                 2.3639,                 2.6783,                 2.8598,              0.0011189,              0.0011189,              0.0011189
                     18,                 2.0334,                 2.2119,                 2.1359,                0.39181,                0.17393,                0.09446,                0.03758,                 2.4181,                 3.0215,                  2.813,              0.0011107,              0.0011107,              0.0011107
                     19,                  1.939,                 2.0606,                 2.0674,                0.38928,                0.21305,                0.14383,                0.06289,                 2.1866,                 2.5499,                 2.6911,              0.0011025,              0.0011025,              0.0011025
                     20,                 1.9726,                 2.0549,                 2.1006,                0.11258,                0.22522,                0.14916,                0.05592,                 2.2262,                 2.6115,                   2.76,              0.0010943,              0.0010943,              0.0010943
                     21,                 1.9451,                 2.0289,                 2.0555,                0.42025,                0.25921,                0.17753,                0.06714,                 2.1506,                 2.5231,                 2.6829,              0.0010861,              0.0010861,              0.0010861
                     22,                 1.9494,                 2.0324,                  2.087,                0.41516,                0.16843,                0.16806,                0.06984,                 2.1383,                 2.4369,                 2.6671,              0.0010779,              0.0010779,              0.0010779
                     23,                 1.9227,                  2.015,                 2.0481,                0.42912,                0.29575,                0.17869,                 0.0694,                 2.2181,                 2.4956,                 2.7479,              0.0010697,              0.0010697,              0.0010697
                     24,                 1.9038,                 1.9704,                 2.0298,                0.47549,                0.26104,                0.17676,                0.05726,                 2.3104,                 2.5136,                 2.7624,              0.0010615,              0.0010615,              0.0010615
                     25,                  1.897,                 1.9643,                 2.0301,                0.44598,                0.11795,                0.12187,                0.04878,                 2.4743,                 3.1951,                  2.876,              0.0010533,              0.0010533,              0.0010533
                     26,                  1.893,                 1.9483,                 2.0246,                0.46753,                0.24052,                0.19539,                0.07914,                 2.2199,                 2.4348,                 2.7184,              0.0010451,              0.0010451,              0.0010451
                     27,                  1.888,                 1.9432,                 1.9892,                0.46075,                 0.2228,                0.17226,                 0.0702,                 2.2565,                 2.5298,                 2.6875,              0.0010369,              0.0010369,              0.0010369
                     28,                  1.838,                 1.8411,                 1.9816,                 0.4833,                0.30183,                0.23571,                0.09461,                 2.1479,                 2.2493,                 2.6855,              0.0010287,              0.0010287,              0.0010287
                     29,                 1.8309,                  1.875,                  1.977,                0.48907,                0.17338,                0.16348,                0.06572,                 2.2604,                  2.896,                 2.7327,              0.0010205,              0.0010205,              0.0010205
                     30,                 1.8322,                 1.8672,                 1.9679,                 0.4578,                 0.2697,                0.19004,                0.07999,                 2.1243,                 2.3931,                 2.6305,              0.0010123,              0.0010123,              0.0010123
                     31,                 1.8426,                 1.8498,                 1.9764,                0.43768,                0.22241,                0.13834,                0.05248,                 2.3125,                 2.7922,                 2.7575,              0.0010041,              0.0010041,              0.0010041
                     32,                 1.8208,                 1.8307,                 1.9593,                0.48986,                0.31025,                0.20981,                 0.0885,                 2.0889,                 2.2552,                 2.5858,             0.00099594,             0.00099594,             0.00099594
                     33,                 1.8322,                 1.8394,                 1.9726,                0.47317,                0.18755,                0.17012,                0.07192,                 2.2145,                 2.6423,                 2.6957,             0.00098775,             0.00098775,             0.00098775
                     34,                 1.8173,                 1.8443,                 1.9746,                0.48383,                0.30496,                0.21953,                0.09107,                 2.1704,                 2.3681,                 2.6409,             0.00097955,             0.00097955,             0.00097955
                     35,                 1.7797,                 1.8216,                 1.9438,                0.53651,                0.30012,                0.23495,                0.10327,                 2.1039,                 2.2909,                 2.6359,             0.00097136,             0.00097136,             0.00097136
                     36,                 1.8131,                 1.8343,                 1.9473,                0.56919,                0.25461,                0.24039,                0.10454,                 2.1263,                 2.1605,                 2.6295,             0.00096316,             0.00096316,             0.00096316
                     37,                 1.7674,                 1.7406,                  1.901,                0.45024,                0.29787,                0.19417,                0.08712,                 2.0887,                 2.1565,                 2.6264,             0.00095497,             0.00095497,             0.00095497
                     38,                 1.7574,                 1.7357,                 1.9189,                0.50783,                0.25214,                0.21489,                0.09558,                 2.0342,                 2.1622,                   2.55,             0.00094677,             0.00094677,             0.00094677
                     39,                 1.7385,                 1.7047,                 1.8968,                0.47309,                0.26719,                0.21741,                0.09514,                 2.0864,                 2.1158,                 2.6092,             0.00093858,             0.00093858,             0.00093858
                     40,                 1.7296,                  1.689,                 1.8769,                0.51658,                0.26158,                0.20988,                0.09759,                  2.167,                 2.1935,                  2.669,             0.00093038,             0.00093038,             0.00093038
                     41,                 1.7419,                 1.7255,                 1.9025,                0.62218,                0.26765,                  0.257,                0.11461,                 2.0804,                 2.0978,                 2.6035,             0.00092219,             0.00092219,             0.00092219
                     42,                 1.7324,                 1.7075,                 1.8938,                0.55064,                0.27058,                 0.2368,                0.10546,                 2.0782,                 2.1767,                 2.6568,             0.00091399,             0.00091399,             0.00091399
                     43,                 1.7313,                 1.6424,                 1.8689,                0.55831,                 0.3031,                0.26198,                0.11626,                 2.0517,                  2.085,                 2.6136,             0.00090579,             0.00090579,             0.00090579
                     44,                 1.7095,                 1.6603,                 1.8837,                0.54266,                0.21138,                 0.2304,                0.09229,                  2.185,                 2.1741,                 2.6967,              0.0008976,              0.0008976,              0.0008976
                     45,                 1.6917,                 1.6253,                 1.8421,                0.57951,                0.24427,                0.25456,                0.11917,                 2.0067,                  2.077,                 2.5787,              0.0008894,              0.0008894,              0.0008894
                     46,                 1.7065,                 1.6542,                 1.8662,                0.59351,                0.30432,                0.27405,                0.11353,                 2.0601,                 2.0357,                 2.5743,             0.00088121,             0.00088121,             0.00088121
                     47,                 1.6936,                 1.6512,                 1.8677,                0.56714,                0.34599,                0.30178,                0.12943,                 2.0252,                  2.006,                 2.5793,             0.00087301,             0.00087301,             0.00087301
                     48,                 1.6595,                 1.5918,                 1.8249,                0.56081,                0.30484,                0.30231,                0.12787,                 2.0234,                  2.015,                 2.5583,             0.00086482,             0.00086482,             0.00086482
                     49,                 1.6671,                 1.5911,                 1.8637,                0.55959,                0.34205,                0.30277,                0.13435,                 2.0034,                 1.9806,                 2.5233,             0.00085662,             0.00085662,             0.00085662
                     50,                 1.6551,                  1.614,                  1.837,                0.55411,                0.27521,                0.28244,                0.13731,                  1.939,                  2.126,                 2.4911,             0.00084843,             0.00084843,             0.00084843
                     51,                 1.6545,                 1.5742,                 1.8183,                0.67472,                0.30804,                0.30223,                0.12762,                 2.0606,                 2.0295,                 2.5763,             0.00084023,             0.00084023,             0.00084023
                     52,                  1.646,                 1.5622,                  1.821,                 0.5526,                0.28534,                0.27294,                0.11785,                 2.0378,                 2.1573,                 2.5588,             0.00083204,             0.00083204,             0.00083204
                     53,                 1.6419,                 1.5503,                 1.7917,                0.58517,                0.23968,                0.26518,                0.11259,                 2.1682,                 2.2334,                 2.7203,             0.00082384,             0.00082384,             0.00082384
                     54,                 1.6755,                 1.5808,                 1.8402,                0.57883,                 0.2703,                0.26934,                0.12905,                 1.9937,                 2.0759,                 2.5305,             0.00081565,             0.00081565,             0.00081565
                     55,                 1.6164,                 1.5301,                 1.7936,                0.56576,                0.29905,                 0.2793,                0.12805,                 2.0413,                 2.0137,                 2.5869,             0.00080745,             0.00080745,             0.00080745
                     56,                  1.619,                 1.5213,                 1.8033,                0.50368,                0.30715,                0.27955,                0.12426,                 2.0109,                 2.0339,                 2.5458,             0.00079925,             0.00079925,             0.00079925
                     57,                 1.6161,                 1.5194,                 1.8226,                0.56334,                0.26027,                0.28932,                0.14262,                 2.0394,                  1.977,                 2.5316,             0.00079106,             0.00079106,             0.00079106
                     58,                 1.6098,                 1.5282,                 1.7981,                0.52534,                0.31765,                0.30701,                0.13131,                 2.0556,                  2.104,                 2.6334,             0.00078286,             0.00078286,             0.00078286
                     59,                 1.6051,                   1.53,                 1.7928,                0.64224,                 0.3373,                0.31713,                 0.1456,                 2.0273,                 1.8237,                 2.5748,             0.00077467,             0.00077467,             0.00077467
                     60,                 1.5652,                  1.458,                 1.7604,                0.58027,                0.29745,                0.30292,                0.14494,                 2.0039,                  1.997,                 2.5446,             0.00076647,             0.00076647,             0.00076647
                     61,                 1.5952,                 1.5237,                 1.7866,                0.59241,                0.32622,                0.29978,                0.14288,                  1.992,                 1.9331,                 2.5358,             0.00075828,             0.00075828,             0.00075828
                     62,                 1.5844,                 1.4532,                  1.755,                0.62729,                0.29731,                0.30279,                 0.1431,                 1.9699,                 1.9213,                 2.5578,             0.00075008,             0.00075008,             0.00075008
                     63,                 1.5936,                 1.4958,                 1.7979,                0.57925,                0.26755,                0.28756,                0.13819,                 1.9854,                  2.088,                 2.5774,             0.00074189,             0.00074189,             0.00074189
                     64,                 1.5638,                 1.4344,                 1.7608,                0.53325,                0.32953,                0.22463,                0.09748,                 2.1139,                 2.6485,                 2.6043,             0.00073369,             0.00073369,             0.00073369
                     65,                 1.5455,                 1.4455,                 1.7579,                0.63944,                0.32277,                0.32352,                0.15613,                 2.0142,                 1.9182,                 2.5645,              0.0007255,              0.0007255,              0.0007255
                     66,                 1.5474,                 1.4197,                 1.7304,                0.54307,                0.36192,                0.29412,                0.14038,                 1.9074,                 1.9691,                 2.4757,              0.0007173,              0.0007173,              0.0007173
                     67,                 1.5622,                 1.4444,                 1.7682,                0.58782,                0.22569,                0.23847,                0.11452,                 2.0677,                 2.1391,                 2.6601,             0.00070911,             0.00070911,             0.00070911
                     68,                 1.5657,                 1.4363,                  1.764,                0.53676,                 0.2998,                0.30767,                0.14028,                 2.0072,                 1.9959,                 2.5407,             0.00070091,             0.00070091,             0.00070091
                     69,                 1.5488,                 1.4276,                 1.7324,                0.56899,                0.29059,                0.30141,                0.14355,                 2.0053,                 1.8914,                 2.6148,             0.00069272,             0.00069272,             0.00069272
                     70,                 1.5419,                 1.3874,                 1.7232,                0.59627,                 0.2578,                0.27525,                0.14085,                 2.0277,                 1.8976,                 2.6858,             0.00068452,             0.00068452,             0.00068452
                     71,                 1.5639,                 1.4153,                 1.7342,                0.58711,                0.29594,                0.31039,                0.14347,                 1.9586,                 1.8276,                 2.5792,             0.00067632,             0.00067632,             0.00067632
                     72,                 1.5335,                 1.4087,                  1.696,                0.56439,                0.30609,                 0.3079,                 0.1421,                  2.036,                 1.8352,                 2.6406,             0.00066813,             0.00066813,             0.00066813
                     73,                 1.5187,                 1.3466,                  1.714,                0.56173,                0.38344,                0.29433,                0.14434,                 1.9773,                 1.9414,                 2.5172,             0.00065993,             0.00065993,             0.00065993
                     74,                 1.5139,                 1.3915,                 1.7192,                0.57186,                0.28377,                 0.2869,                0.13971,                 1.9696,                 1.9488,                 2.5852,             0.00065174,             0.00065174,             0.00065174
                     75,                 1.5024,                 1.3667,                  1.686,                0.57145,                 0.3062,                0.28405,                0.13871,                 1.9647,                 1.8209,                 2.5519,             0.00064354,             0.00064354,             0.00064354
                     76,                 1.5227,                 1.3689,                 1.7114,                0.56073,                0.32135,                0.29066,                0.14121,                 2.0537,                 1.8637,                 2.6389,             0.00063535,             0.00063535,             0.00063535
                     77,                 1.5122,                 1.3575,                 1.6988,                0.60917,                0.35448,                0.33969,                0.15058,                 2.0352,                  1.724,                  2.619,             0.00062715,             0.00062715,             0.00062715
                     78,                 1.4943,                 1.4425,                 1.7076,                0.57639,                0.34093,                0.31866,                0.14871,                  1.999,                 1.7798,                 2.5811,             0.00061896,             0.00061896,             0.00061896
                     79,                 1.5093,                 1.3832,                 1.7223,                0.56235,                0.30097,                0.28687,                0.14079,                 2.0699,                 1.9253,                 2.6796,             0.00061076,             0.00061076,             0.00061076
                     80,                  1.469,                 1.3373,                    1.7,                0.54452,                0.32081,                0.31797,                0.15051,                 2.0247,                 1.7981,                 2.6176,             0.00060257,             0.00060257,             0.00060257
                     81,                 1.4824,                 1.3334,                 1.7095,                0.53177,                0.32339,                0.30069,                0.15439,                 1.9489,                 1.7466,                 2.5637,             0.00059437,             0.00059437,             0.00059437
                     82,                 1.4811,                 1.3111,                 1.7047,                0.59042,                0.31154,                0.28499,                 0.1367,                 1.9919,                 1.9789,                 2.5641,             0.00058618,             0.00058618,             0.00058618
                     83,                 1.4597,                 1.3081,                  1.701,                0.56164,                 0.3483,                0.31777,                 0.1477,                 2.0042,                 1.8039,                 2.6415,             0.00057798,             0.00057798,             0.00057798
                     84,                 1.4641,                 1.3029,                 1.6661,                0.59328,                0.27426,                0.31062,                 0.1447,                  1.982,                 1.7983,                 2.6139,             0.00056978,             0.00056978,             0.00056978
                     85,                  1.445,                 1.3019,                 1.6687,                0.63333,                0.29405,                0.31982,                0.14541,                 1.9747,                 1.8139,                 2.5608,             0.00056159,             0.00056159,             0.00056159
                     86,                 1.4663,                 1.2944,                 1.6834,                0.65489,                0.31327,                0.33166,                0.15863,                 1.9878,                 1.7831,                 2.6187,             0.00055339,             0.00055339,             0.00055339
                     87,                 1.4564,                 1.2691,                 1.6688,                0.56659,                0.40527,                0.35825,                0.16744,                 1.9365,                 1.6638,                 2.5951,              0.0005452,              0.0005452,              0.0005452
                     88,                 1.4375,                 1.2615,                 1.6465,                0.60399,                0.39199,                0.36557,                0.16219,                 1.8852,                 1.6759,                 2.5545,               0.000537,               0.000537,               0.000537
                     89,                 1.4294,                 1.2388,                 1.6303,                0.67666,                0.32961,                0.35484,                0.16049,                 1.9468,                 1.7698,                  2.593,             0.00052881,             0.00052881,             0.00052881
                     90,                 1.4379,                 1.2442,                 1.6454,                0.63728,                 0.3576,                 0.3392,                0.16178,                 1.9249,                 1.7852,                 2.5483,             0.00052061,             0.00052061,             0.00052061
                     91,                 1.4327,                   1.25,                 1.6431,                0.59825,                0.33623,                 0.3134,                  0.153,                 1.9094,                 1.7859,                 2.5552,             0.00051242,             0.00051242,             0.00051242
                     92,                 1.4137,                 1.2628,                 1.6423,                0.57041,                0.36025,                0.33695,                0.15925,                 2.0346,                 1.8171,                 2.6514,             0.00050422,             0.00050422,             0.00050422
                     93,                 1.4254,                 1.2497,                 1.6448,                0.64112,                0.39111,                0.37434,                0.17148,                 1.8818,                 1.7183,                 2.5722,             0.00049603,             0.00049603,             0.00049603
                     94,                  1.447,                 1.2906,                  1.663,                0.57394,                0.34537,                0.34706,                0.16442,                 1.9399,                 1.8083,                 2.5983,             0.00048783,             0.00048783,             0.00048783
                     95,                 1.4131,                 1.2276,                 1.6409,                0.60301,                0.34727,                  0.339,                0.15188,                  1.939,                   1.79,                  2.591,             0.00047964,             0.00047964,             0.00047964
                     96,                 1.4102,                 1.1948,                  1.623,                0.56316,                0.41474,                0.32953,                0.14869,                 2.0018,                 1.8051,                 2.6558,             0.00047144,             0.00047144,             0.00047144
