                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,3.5178,5.407,4.0823,0.20093,0.00723,0.00034,8.00E-05,3.1642,4.641,3.6897,0.003328,0.003328,0.003328
1,2.7652,4.6466,3.1271,0.32942,0.01751,0.0036,0.00143,2.5187,4.1745,2.8399,0.0066177,0.0066177,0.0066177
2,2.237,4.1361,2.4837,0.36823,0.01987,0.00851,0.00382,2.2187,3.7939,2.4468,0.0098636,0.0098636,0.0098636
3,2.0165,3.8098,2.1995,0.30838,0.03943,0.01719,0.00848,2.0524,3.5303,2.1959,0.0098033,0.0098033,0.0098033
4,1.912,3.5779,2.0743,0.34758,0.04902,0.02768,0.01402,1.971,3.3489,2.1078,0.0098033,0.0098033,0.0098033
5,1.8437,3.4094,1.9903,0.29402,0.0751,0.03633,0.01816,1.8899,3.2604,2.0531,0.0097377,0.0097377,0.0097377
6,1.7918,3.2803,1.9377,0.25194,0.07623,0.04648,0.02419,1.8573,3.0858,1.9868,0.0096722,0.0096722,0.0096722
7,1.7672,3.1815,1.9076,0.27845,0.09089,0.05761,0.03106,1.8127,3.0212,1.9536,0.0096066,0.0096066,0.0096066
8,1.7357,3.1123,1.8755,0.29504,0.09733,0.06524,0.03604,1.8012,2.9487,1.9246,0.0095411,0.0095411,0.0095411
9,1.7157,3.0407,1.8505,0.24778,0.11088,0.06781,0.03703,1.7853,2.8948,1.8961,0.0094755,0.0094755,0.0094755
10,1.6976,2.9905,1.8382,0.25999,0.12346,0.07537,0.04181,1.7661,2.8188,1.869,0.0094099,0.0094099,0.0094099
11,1.6837,2.9341,1.8124,0.25939,0.12803,0.08078,0.04587,1.7399,2.8062,1.8743,0.0093444,0.0093444,0.0093444
12,1.67,2.8868,1.8016,0.29172,0.13358,0.08882,0.04961,1.7201,2.7485,1.8342,0.0092788,0.0092788,0.0092788
13,1.6521,2.8542,1.7872,0.2826,0.13999,0.09341,0.05356,1.7008,2.7172,1.8145,0.0092132,0.0092132,0.0092132
14,1.6352,2.8007,1.7649,0.23208,0.14249,0.09943,0.05673,1.7081,2.694,1.8078,0.0091477,0.0091477,0.0091477
15,1.6291,2.7573,1.7582,0.21851,0.15592,0.10574,0.06039,1.6826,2.6275,1.7892,0.0090821,0.0090821,0.0090821
16,1.6187,2.7425,1.7491,0.25494,0.15884,0.11281,0.06528,1.6709,2.5998,1.7784,0.0090166,0.0090166,0.0090166
17,1.6156,2.7128,1.7422,0.26027,0.15691,0.11376,0.06613,1.6612,2.594,1.7815,0.008951,0.008951,0.008951
18,1.6081,2.686,1.733,0.27489,0.16769,0.12046,0.07005,1.6545,2.5495,1.7639,0.0088854,0.0088854,0.0088854
19,1.5871,2.6417,1.7142,0.28141,0.17108,0.12748,0.07468,1.6307,2.5065,1.7476,0.0088199,0.0088199,0.0088199
20,1.5806,2.6214,1.71,0.25389,0.17388,0.12706,0.07426,1.6375,2.4938,1.7397,0.0087543,0.0087543,0.0087543
21,1.5754,2.6125,1.7029,0.29569,0.17954,0.13584,0.07918,1.6262,2.4621,1.7314,0.0086887,0.0086887,0.0086887
22,1.5696,2.5948,1.6962,0.25329,0.18263,0.13717,0.08158,1.6196,2.4546,1.7209,0.0086232,0.0086232,0.0086232
23,1.5669,2.5599,1.6867,0.29924,0.18733,0.14104,0.08293,1.6131,2.4152,1.7086,0.0085576,0.0085576,0.0085576
24,1.5554,2.5373,1.6844,0.2945,0.18946,0.15052,0.09016,1.6056,2.4056,1.7116,0.0084921,0.0084921,0.0084921
25,1.5514,2.5179,1.6781,0.27511,0.19876,0.15565,0.09279,1.5981,2.3748,1.7048,0.0084265,0.0084265,0.0084265
26,1.5449,2.4901,1.6627,0.25255,0.19926,0.15697,0.09393,1.5914,2.3702,1.6918,0.0083609,0.0083609,0.0083609
27,1.5435,2.4835,1.6639,0.29708,0.20302,0.16372,0.09767,1.5856,2.3383,1.6939,0.0082954,0.0082954,0.0082954
28,1.5327,2.4558,1.6543,0.28471,0.20507,0.16819,0.10152,1.5778,2.3366,1.6804,0.0082298,0.0082298,0.0082298
29,1.5234,2.4396,1.6439,0.3169,0.20769,0.17075,0.10213,1.5722,2.3091,1.6747,0.0081642,0.0081642,0.0081642
30,1.5283,2.4329,1.647,0.28963,0.21477,0.17203,0.10447,1.563,2.2942,1.6618,0.0080987,0.0080987,0.0080987
31,1.5179,2.412,1.6379,0.30398,0.22015,0.18025,0.10949,1.5553,2.2693,1.6611,0.0080331,0.0080331,0.0080331
32,1.5161,2.3955,1.6311,0.32746,0.21805,0.18407,0.11157,1.5498,2.2454,1.6499,0.0079675,0.0079675,0.0079675
33,1.5079,2.3797,1.6258,0.30946,0.22037,0.18987,0.11497,1.5432,2.238,1.6496,0.007902,0.007902,0.007902
34,1.5037,2.3706,1.627,0.31666,0.22358,0.18967,0.11515,1.538,2.2263,1.6376,0.0078364,0.0078364,0.0078364
35,1.4928,2.3659,1.6176,0.34103,0.22112,0.1962,0.12058,1.5331,2.2081,1.6375,0.0077709,0.0077709,0.0077709
36,1.495,2.3443,1.6126,0.32461,0.23159,0.197,0.12169,1.5303,2.2021,1.6298,0.0077053,0.0077053,0.0077053
37,1.4904,2.3239,1.6101,0.34734,0.22463,0.20241,0.12439,1.5238,2.1857,1.626,0.0076397,0.0076397,0.0076397
38,1.4891,2.3216,1.6075,0.33186,0.23193,0.20597,0.12637,1.5218,2.1726,1.6197,0.0075742,0.0075742,0.0075742
39,1.4823,2.3024,1.6067,0.33998,0.23821,0.20687,0.12704,1.5156,2.1597,1.6146,0.0075086,0.0075086,0.0075086
40,1.4815,2.2962,1.6014,0.34349,0.23661,0.21094,0.13065,1.515,2.1491,1.6121,0.007443,0.007443,0.007443
41,1.4705,2.2709,1.5945,0.36861,0.24024,0.21341,0.1329,1.5095,2.1403,1.6112,0.0073775,0.0073775,0.0073775
42,1.4749,2.2699,1.5915,0.35366,0.23928,0.21712,0.1349,1.4989,2.1281,1.6039,0.0073119,0.0073119,0.0073119
43,1.4675,2.263,1.5904,0.36392,0.24166,0.22153,0.13877,1.4985,2.1141,1.5978,0.0072464,0.0072464,0.0072464
44,1.4601,2.2417,1.582,0.3631,0.24936,0.22182,0.13832,1.4968,2.1162,1.5997,0.0071808,0.0071808,0.0071808
45,1.4658,2.2457,1.5823,0.37137,0.24907,0.22497,0.14051,1.496,2.1067,1.5939,0.0071152,0.0071152,0.0071152
46,1.4516,2.2173,1.5767,0.38775,0.24342,0.22748,0.14256,1.4896,2.0937,1.5914,0.0070497,0.0070497,0.0070497
47,1.449,2.2084,1.5705,0.36921,0.25827,0.2304,0.14386,1.4897,2.0899,1.5879,0.0069841,0.0069841,0.0069841
48,1.4537,2.1996,1.569,0.37554,0.25667,0.23036,0.14456,1.4846,2.0733,1.5799,0.0069185,0.0069185,0.0069185
49,1.454,2.2014,1.5709,0.37355,0.2571,0.23429,0.14631,1.4816,2.0652,1.5795,0.006853,0.006853,0.006853
50,1.4534,2.1897,1.568,0.37253,0.26048,0.23697,0.14884,1.4771,2.0558,1.5743,0.0067874,0.0067874,0.0067874
51,1.4424,2.1715,1.5596,0.38306,0.26094,0.23877,0.14992,1.475,2.049,1.5689,0.0067219,0.0067219,0.0067219
52,1.441,2.1612,1.5576,0.38181,0.26552,0.24057,0.15095,1.4744,2.0462,1.5733,0.0066563,0.0066563,0.0066563
53,1.4414,2.1481,1.5586,0.40501,0.2616,0.24393,0.15278,1.4703,2.0375,1.5681,0.0065907,0.0065907,0.0065907
54,1.432,2.1424,1.5488,0.38972,0.26439,0.24243,0.15238,1.4679,2.0296,1.5646,0.0065252,0.0065252,0.0065252
55,1.4344,2.1566,1.5541,0.36906,0.26873,0.24627,0.15462,1.4682,2.0239,1.562,0.0064596,0.0064596,0.0064596
56,1.4294,2.1259,1.5452,0.38272,0.26672,0.24642,0.15483,1.4641,2.0187,1.5583,0.006394,0.006394,0.006394
57,1.4158,2.106,1.5349,0.39005,0.26905,0.2482,0.15639,1.4629,2.0124,1.5589,0.0063285,0.0063285,0.0063285
58,1.4248,2.123,1.5458,0.40052,0.269,0.25055,0.1574,1.4603,2.0074,1.5557,0.0062629,0.0062629,0.0062629
59,1.4225,2.1112,1.538,0.39851,0.26846,0.2513,0.15823,1.4588,2.0045,1.5541,0.0061974,0.0061974,0.0061974
60,1.4163,2.1062,1.5355,0.38849,0.27233,0.25299,0.15892,1.4554,2.0012,1.5514,0.0061318,0.0061318,0.0061318
61,1.414,2.0887,1.5355,0.40111,0.27281,0.25445,0.16061,1.4558,1.9954,1.5502,0.0060662,0.0060662,0.0060662
62,1.4166,2.0831,1.5331,0.40213,0.27247,0.25571,0.1611,1.4531,1.9867,1.5475,0.0060007,0.0060007,0.0060007
63,1.4094,2.0885,1.5362,0.40375,0.27171,0.25623,0.16203,1.4501,1.9828,1.547,0.0059351,0.0059351,0.0059351
64,1.4085,2.0709,1.5267,0.4016,0.2755,0.25797,0.16323,1.4472,1.9762,1.5426,0.0058695,0.0058695,0.0058695
65,1.4016,2.0535,1.5219,0.40929,0.27558,0.25967,0.16384,1.4455,1.9722,1.5412,0.005804,0.005804,0.005804
66,1.4118,2.0534,1.5275,0.40227,0.27842,0.26163,0.16576,1.4448,1.9666,1.5399,0.0057384,0.0057384,0.0057384
67,1.404,2.0486,1.5183,0.40772,0.27972,0.26311,0.16661,1.4432,1.9617,1.537,0.0056728,0.0056728,0.0056728
68,1.4068,2.041,1.5194,0.4007,0.2833,0.26412,0.16755,1.441,1.9607,1.5335,0.0056073,0.0056073,0.0056073
69,1.3916,2.0251,1.5142,0.40303,0.28194,0.26547,0.16858,1.439,1.9598,1.5316,0.0055417,0.0055417,0.0055417
70,1.3959,2.0261,1.5134,0.41114,0.27906,0.26565,0.16846,1.4391,1.9564,1.5315,0.0054762,0.0054762,0.0054762
71,1.3907,2.0282,1.514,0.40653,0.28017,0.2665,0.16872,1.4382,1.9497,1.5305,0.0054106,0.0054106,0.0054106
72,1.3908,2.018,1.5151,0.40533,0.28013,0.26778,0.16971,1.4371,1.9451,1.5293,0.005345,0.005345,0.005345
73,1.3876,1.9928,1.5039,0.40955,0.28013,0.26861,0.17129,1.4362,1.9419,1.5286,0.0052795,0.0052795,0.0052795
74,1.3894,1.9968,1.5056,0.42218,0.27767,0.26972,0.17186,1.4341,1.9387,1.5266,0.0052139,0.0052139,0.0052139
75,1.3862,1.9892,1.5035,0.40944,0.28208,0.27065,0.17224,1.4326,1.9365,1.5253,0.0051483,0.0051483,0.0051483
76,1.3826,1.9912,1.4998,0.41276,0.28139,0.27219,0.17302,1.4309,1.9331,1.5233,0.0050828,0.0050828,0.0050828
77,1.3799,1.978,1.4973,0.41426,0.28201,0.27318,0.1734,1.4305,1.9305,1.5224,0.0050172,0.0050172,0.0050172
78,1.3775,1.9598,1.496,0.40515,0.28477,0.27427,0.17459,1.429,1.9275,1.5211,0.0049517,0.0049517,0.0049517
79,1.3785,1.9683,1.4936,0.4105,0.28357,0.27537,0.17527,1.4278,1.9233,1.52,0.0048861,0.0048861,0.0048861
80,1.37,1.9484,1.4902,0.40782,0.28798,0.276,0.17559,1.4271,1.9212,1.5189,0.0048205,0.0048205,0.0048205
81,1.3714,1.9548,1.4909,0.42133,0.28814,0.27696,0.17603,1.4266,1.9183,1.5182,0.004755,0.004755,0.004755
82,1.3659,1.9349,1.4862,0.42114,0.2899,0.27747,0.17652,1.4254,1.9149,1.5167,0.0046894,0.0046894,0.0046894
83,1.3697,1.9332,1.4878,0.42332,0.28772,0.27784,0.17678,1.4243,1.912,1.5154,0.0046238,0.0046238,0.0046238
84,1.369,1.9276,1.4834,0.42616,0.28872,0.27854,0.17721,1.4236,1.9092,1.5145,0.0045583,0.0045583,0.0045583
