                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5869,                 5.4206,                 4.0806,                0.00048,                0.00368,                0.00036,                  7e-05,                 3.3285,                 4.8649,                 3.8724,               0.003328,               0.003328,               0.003328
                      1,                 2.8894,                 4.7105,                 3.1792,                0.00146,                0.02285,                0.00116,                0.00045,                 2.7231,                 4.4785,                 3.1431,              0.0066177,              0.0066177,              0.0066177
                      2,                  2.365,                 4.2702,                 2.5349,                0.00395,                0.06746,                0.00492,                0.00209,                 2.4174,                 4.2211,                 2.5544,              0.0098636,              0.0098636,              0.0098636
                      3,                 2.1719,                 3.9798,                 2.2814,                0.34431,                0.02411,                0.01126,                0.00515,                 2.2471,                 3.8003,                 2.3571,              0.0098033,              0.0098033,              0.0098033
                      4,                  2.078,                 3.7616,                 2.1511,                0.37876,                0.03121,                0.01734,                0.00824,                 2.1732,                 3.5641,                 2.2793,              0.0098033,              0.0098033,              0.0098033
                      5,                 2.0156,                 3.5986,                 2.0738,                0.35083,                0.04374,                0.02297,                0.01099,                 2.0861,                 3.4488,                 2.1933,              0.0097377,              0.0097377,              0.0097377
                      6,                 1.9675,                  3.477,                 2.0335,                0.36769,                0.05573,                0.03098,                0.01455,                 2.0511,                 3.3476,                 2.1496,              0.0096722,              0.0096722,              0.0096722
                      7,                 1.9341,                 3.3736,                 1.9932,                0.28766,                0.06283,                0.03493,                 0.0171,                 2.0323,                 3.2971,                 2.1198,              0.0096066,              0.0096066,              0.0096066
                      8,                 1.9024,                 3.3136,                 1.9601,                0.32079,                0.06793,                0.04384,                0.02221,                 1.9892,                 3.2717,                 2.0887,              0.0095411,              0.0095411,              0.0095411
                      9,                 1.8814,                 3.2357,                 1.9339,                0.28857,                0.08384,                0.04798,                0.02379,                 1.9657,                 3.1264,                 2.0631,              0.0094755,              0.0094755,              0.0094755
                     10,                 1.8552,                 3.1818,                 1.9167,                0.26784,                0.08849,                0.05176,                0.02581,                 1.9619,                 3.0816,                 2.0362,              0.0094099,              0.0094099,              0.0094099
                     11,                 1.8424,                 3.1206,                 1.8876,                0.27433,                0.08707,                0.05208,                0.02618,                  1.929,                 3.0386,                 2.0164,              0.0093444,              0.0093444,              0.0093444
                     12,                 1.8268,                 3.0713,                 1.8741,                0.27746,                 0.1033,                0.06026,                0.03028,                 1.9027,                 2.9774,                 1.9801,              0.0092788,              0.0092788,              0.0092788
                     13,                 1.8042,                 3.0395,                 1.8582,                0.22826,                0.09968,                0.06345,                0.03258,                  1.893,                 2.9815,                  1.982,              0.0092132,              0.0092132,              0.0092132
                     14,                 1.7814,                 2.9938,                 1.8381,                0.22809,                0.09606,                 0.0639,                0.03362,                 1.8977,                 3.0392,                 1.9575,              0.0091477,              0.0091477,              0.0091477
                     15,                 1.7818,                 2.9503,                  1.828,                 0.2186,                0.10969,                0.06946,                0.03649,                 1.8665,                 2.9347,                 1.9342,              0.0090821,              0.0090821,              0.0090821
                     16,                 1.7635,                 2.9273,                 1.8095,                0.27482,                0.11567,                0.07744,                0.04113,                 1.8467,                 2.8904,                 1.9294,              0.0090166,              0.0090166,              0.0090166
                     17,                 1.7587,                  2.903,                 1.8002,                0.23558,                0.11585,                 0.0795,                0.04187,                 1.8462,                 2.8632,                 1.9254,               0.008951,               0.008951,               0.008951
                     18,                 1.7483,                 2.8628,                 1.7914,                0.23418,                0.12231,                  0.081,                0.04231,                 1.8416,                 2.8337,                 1.9152,              0.0088854,              0.0088854,              0.0088854
                     19,                 1.7304,                 2.8313,                  1.778,                0.26847,                0.13141,                0.08967,                0.04764,                 1.8155,                 2.7698,                  1.893,              0.0088199,              0.0088199,              0.0088199
                     20,                 1.7238,                  2.805,                 1.7691,                 0.2445,                0.13739,                 0.0944,                0.05099,                 1.8036,                 2.7268,                 1.8719,              0.0087543,              0.0087543,              0.0087543
                     21,                 1.7188,                 2.7966,                 1.7651,                 0.2393,                0.13967,                0.09573,                0.05193,                 1.7996,                 2.7353,                 1.8751,              0.0086887,              0.0086887,              0.0086887
                     22,                 1.7088,                 2.7728,                 1.7534,                0.23434,                0.13746,                0.09193,                0.04941,                 1.8021,                 2.7551,                 1.8715,              0.0086232,              0.0086232,              0.0086232
                     23,                 1.7083,                 2.7421,                 1.7432,                0.27305,                0.15248,                0.10214,                0.05581,                 1.7856,                 2.6705,                  1.841,              0.0085576,              0.0085576,              0.0085576
                     24,                 1.6947,                 2.7185,                 1.7429,                0.22431,                0.14837,                0.10299,                0.05659,                 1.7792,                 2.6861,                 1.8531,              0.0084921,              0.0084921,              0.0084921
                     25,                 1.6881,                 2.6923,                 1.7354,                 0.2464,                0.16143,                0.11306,                0.06249,                 1.7668,                 2.6285,                 1.8484,              0.0084265,              0.0084265,              0.0084265
                     26,                 1.6879,                 2.6734,                 1.7273,                0.24172,                0.15746,                0.11325,                0.06236,                  1.761,                 2.6206,                 1.8422,              0.0083609,              0.0083609,              0.0083609
                     27,                  1.683,                 2.6603,                 1.7208,                 0.2562,                0.15668,                0.11834,                0.06589,                 1.7547,                 2.6013,                 1.8321,              0.0082954,              0.0082954,              0.0082954
                     28,                  1.675,                 2.6393,                 1.7193,                0.25475,                0.16624,                0.12129,                0.06775,                 1.7443,                  2.584,                 1.8228,              0.0082298,              0.0082298,              0.0082298
                     29,                 1.6682,                 2.6098,                 1.7057,                0.27123,                0.16145,                0.11997,                0.06708,                 1.7318,                 2.5766,                 1.8179,              0.0081642,              0.0081642,              0.0081642
                     30,                 1.6696,                 2.6118,                 1.7091,                0.25434,                 0.1692,                0.12105,                0.06733,                 1.7383,                 2.5552,                  1.806,              0.0080987,              0.0080987,              0.0080987
                     31,                 1.6558,                 2.5892,                 1.7018,                0.25271,                0.17198,                0.12899,                0.07313,                 1.7171,                 2.5342,                 1.8002,              0.0080331,              0.0080331,              0.0080331
                     32,                  1.653,                 2.5725,                 1.6952,                0.26847,                0.17189,                0.13365,                0.07533,                 1.7178,                 2.5171,                 1.7995,              0.0079675,              0.0079675,              0.0079675
                     33,                 1.6415,                 2.5563,                 1.6815,                0.28789,                0.17958,                0.13742,                0.07785,                 1.7204,                 2.5004,                 1.7934,               0.007902,               0.007902,               0.007902
                     34,                 1.6429,                 2.5465,                 1.6886,                0.25972,                0.17984,                0.13882,                  0.079,                  1.714,                 2.4832,                 1.7824,              0.0078364,              0.0078364,              0.0078364
                     35,                 1.6283,                 2.5415,                 1.6781,                0.27245,                0.18552,                0.14555,                0.08305,                 1.7047,                 2.4676,                   1.78,              0.0077709,              0.0077709,              0.0077709
                     36,                 1.6328,                 2.5188,                 1.6737,                 0.2856,                0.18423,                0.14626,                0.08354,                 1.6988,                 2.4669,                 1.7722,              0.0077053,              0.0077053,              0.0077053
                     37,                 1.6257,                 2.4995,                 1.6713,                0.29246,                0.19055,                0.14711,                0.08406,                 1.6895,                 2.4447,                 1.7639,              0.0076397,              0.0076397,              0.0076397
                     38,                 1.6239,                 2.4945,                 1.6666,                0.29041,                0.18544,                0.15217,                0.08706,                 1.6906,                  2.434,                 1.7561,              0.0075742,              0.0075742,              0.0075742
                     39,                 1.6191,                 2.4745,                 1.6638,                0.30964,                0.19463,                0.15409,                0.08842,                 1.6826,                 2.4178,                 1.7583,              0.0075086,              0.0075086,              0.0075086
                     40,                 1.6166,                 2.4672,                 1.6553,                0.30502,                0.19353,                0.15898,                0.09164,                 1.6764,                 2.4057,                 1.7516,               0.007443,               0.007443,               0.007443
                     41,                 1.6084,                 2.4351,                 1.6497,                0.27363,                0.19549,                0.15664,                0.08995,                  1.675,                 2.3995,                 1.7463,              0.0073775,              0.0073775,              0.0073775
                     42,                 1.6115,                 2.4421,                 1.6459,                0.30635,                0.19888,                0.16045,                0.09288,                 1.6735,                 2.3848,                  1.739,              0.0073119,              0.0073119,              0.0073119
                     43,                 1.6051,                 2.4337,                 1.6451,                0.32879,                0.20196,                 0.1634,                0.09513,                 1.6722,                 2.3789,                  1.734,              0.0072464,              0.0072464,              0.0072464
                     44,                 1.5997,                 2.4126,                 1.6358,                0.29242,                0.20365,                0.16696,                0.09674,                 1.6631,                 2.3667,                 1.7317,              0.0071808,              0.0071808,              0.0071808
                     45,                 1.6031,                 2.4093,                 1.6391,                0.32059,                 0.2053,                0.16786,                0.09727,                 1.6635,                 2.3691,                 1.7293,              0.0071152,              0.0071152,              0.0071152
                     46,                 1.5923,                 2.3916,                 1.6338,                0.33163,                 0.2036,                0.17061,                0.09916,                 1.6616,                 2.3557,                 1.7312,              0.0070497,              0.0070497,              0.0070497
                     47,                 1.5846,                 2.3793,                 1.6268,                0.32487,                0.20747,                0.17287,                0.10091,                 1.6565,                 2.3405,                 1.7297,              0.0069841,              0.0069841,              0.0069841
                     48,                 1.5903,                 2.3686,                 1.6259,                0.31679,                0.21462,                 0.1756,                0.10241,                 1.6517,                 2.3247,                  1.719,              0.0069185,              0.0069185,              0.0069185
                     49,                 1.5886,                 2.3725,                 1.6278,                0.33458,                0.21302,                0.17755,                0.10395,                 1.6488,                 2.3211,                 1.7154,               0.006853,               0.006853,               0.006853
                     50,                 1.5871,                 2.3608,                 1.6267,                0.30955,                0.21206,                0.17923,                0.10503,                 1.6436,                 2.3106,                 1.7123,              0.0067874,              0.0067874,              0.0067874
                     51,                 1.5752,                 2.3371,                 1.6167,                0.32632,                0.21213,                0.18086,                0.10639,                 1.6408,                 2.3079,                 1.7079,              0.0067219,              0.0067219,              0.0067219
                     52,                 1.5761,                 2.3322,                 1.6146,                0.33197,                0.21158,                0.18163,                0.10636,                 1.6405,                 2.3062,                 1.7085,              0.0066563,              0.0066563,              0.0066563
                     53,                  1.576,                 2.3155,                 1.6116,                0.34404,                0.21001,                0.18076,                0.10617,                 1.6338,                 2.2944,                 1.7015,              0.0065907,              0.0065907,              0.0065907
                     54,                 1.5688,                 2.3073,                 1.6079,                 0.3398,                0.21578,                0.18376,                0.10819,                 1.6362,                 2.2868,                 1.7019,              0.0065252,              0.0065252,              0.0065252
                     55,                  1.566,                 2.3202,                 1.6099,                 0.3185,                0.21736,                0.18697,                0.10978,                 1.6307,                 2.2775,                 1.6968,              0.0064596,              0.0064596,              0.0064596
                     56,                 1.5608,                 2.2963,                 1.6015,                0.32584,                0.22255,                0.18957,                 0.1116,                 1.6324,                  2.271,                 1.7002,               0.006394,               0.006394,               0.006394
                     57,                 1.5544,                 2.2772,                 1.5934,                0.31882,                0.21873,                0.18974,                 0.1122,                  1.629,                 2.2626,                 1.6968,              0.0063285,              0.0063285,              0.0063285
