                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5667,                 5.4319,                 4.0484,                 0.0007,                0.00553,                0.00039,                0.00012,                 3.3024,                 4.7305,                 3.7926,               0.003328,               0.003328,               0.003328
                      1,                 3.0938,                 4.9127,                  3.382,                0.00407,                0.00936,                0.00228,                0.00039,                 2.9059,                 4.5479,                 3.2655,              0.0066177,              0.0066177,              0.0066177
                      2,                 2.5968,                 4.5383,                 2.7632,                0.38177,                0.01244,                0.00291,                0.00098,                 2.6247,                 4.1647,                 2.8139,              0.0098636,              0.0098636,              0.0098636
                      3,                 2.3091,                  4.177,                 2.4059,                0.00579,                0.05326,                0.00627,                0.00273,                 2.4253,                  4.252,                 2.5485,              0.0098033,              0.0098033,              0.0098033
                      4,                 2.1844,                 3.9192,                 2.2528,                0.50757,                0.02013,                0.01016,                 0.0043,                 2.2769,                  3.778,                 2.3917,              0.0098033,              0.0098033,              0.0098033
                      5,                 2.1022,                   3.74,                 2.1629,                0.40166,                0.02965,                0.01703,                0.00721,                 2.1812,                  3.629,                 2.3312,              0.0097377,              0.0097377,              0.0097377
                      6,                 2.0473,                 3.6224,                 2.1149,                0.40058,                0.03264,                0.02318,                0.01006,                 2.1324,                 3.5079,                 2.2712,              0.0096722,              0.0096722,              0.0096722
                      7,                 2.0122,                 3.5109,                  2.074,                0.23509,                 0.0473,                0.02609,                0.01174,                 2.1275,                 3.4736,                 2.2725,              0.0096066,              0.0096066,              0.0096066
                      8,                 1.9787,                 3.4525,                 2.0457,                0.25821,                 0.0519,                0.03238,                0.01483,                 2.0873,                 3.3579,                  2.197,              0.0095411,              0.0095411,              0.0095411
                      9,                 1.9594,                 3.3871,                 2.0208,                0.22493,                0.06648,                0.03306,                0.01512,                 2.0678,                 3.3213,                 2.2025,              0.0094755,              0.0094755,              0.0094755
                     10,                 1.9351,                 3.3241,                 2.0036,                0.27108,                0.07082,                0.04263,                0.02072,                 2.0299,                 3.2319,                 2.1354,              0.0094099,              0.0094099,              0.0094099
                     11,                 1.9243,                 3.2685,                 1.9734,                0.25658,                0.06947,                0.04093,                0.01938,                 2.0205,                 3.2335,                 2.1342,              0.0093444,              0.0093444,              0.0093444
                     12,                 1.9052,                 3.2265,                 1.9635,                0.27619,                0.07383,                0.04829,                0.02296,                 2.0114,                 3.1726,                 2.1075,              0.0092788,              0.0092788,              0.0092788
