                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5439,                 5.2699,                 3.6846,                0.00118,                0.00957,                0.00072,                0.00033,                 3.3564,                 5.7482,                 3.6928,               0.003328,               0.003328,               0.003328
                      2,                 3.1395,                 4.4906,                 2.9887,                0.00117,                0.02305,                 0.0008,                 0.0003,                 3.2474,                 4.3661,                 3.3207,              0.0066177,              0.0066177,              0.0066177
                      3,                 2.8499,                 4.1858,                 2.6824,                0.00181,                0.02496,                0.00174,                0.00055,                 3.0275,                 4.0708,                 2.8914,              0.0098636,              0.0098636,              0.0098636
                      4,                 2.5746,                  3.912,                 2.4282,                0.00302,                0.05622,                 0.0028,                0.00091,                 2.8603,                 3.8643,                 2.7267,              0.0098033,              0.0098033,              0.0098033
                      5,                 2.4298,                 3.7552,                 2.3119,                0.00444,                0.05078,                0.00398,                0.00157,                 2.7164,                 3.9027,                 2.5863,              0.0098033,              0.0098033,              0.0098033
                      6,                 2.3498,                 3.6249,                 2.2385,                0.36462,                0.03174,                0.00597,                0.00211,                 2.6453,                  3.651,                 2.5492,              0.0097377,              0.0097377,              0.0097377
                      7,                 2.2733,                 3.5198,                 2.1757,                0.00438,                0.10535,                0.00644,                0.00256,                 2.6032,                 3.7074,                 2.5227,              0.0096722,              0.0096722,              0.0096722
                      8,                 2.2248,                 3.4319,                 2.1338,                0.00528,                0.11379,                0.00703,                0.00288,                 2.5742,                 3.6465,                 2.4778,              0.0096066,              0.0096066,              0.0096066
                      9,                 2.1765,                 3.3778,                 2.0988,                0.00572,                0.14567,                0.00976,                0.00403,                 2.5018,                 3.5492,                  2.461,              0.0095411,              0.0095411,              0.0095411
                     10,                 2.1469,                 3.3152,                 2.0653,                0.57578,                0.01865,                0.01186,                0.00504,                 2.4784,                 3.5102,                 2.4134,              0.0094755,              0.0094755,              0.0094755
                     11,                 2.1234,                 3.2618,                 2.0491,                0.18514,                0.07521,                0.01287,                0.00554,                 2.4991,                 3.5189,                  2.416,              0.0094099,              0.0094099,              0.0094099
                     12,                 2.1041,                 3.2071,                 2.0169,                0.17624,                0.06763,                0.01452,                0.00624,                 2.5007,                 3.5095,                 2.3936,              0.0093444,              0.0093444,              0.0093444
                     13,                 2.0872,                 3.1677,                 1.9982,                0.39187,                0.03159,                0.01677,                0.00696,                 2.4406,                 3.3982,                 2.3461,              0.0092788,              0.0092788,              0.0092788
                     14,                 2.0566,                 3.1351,                 1.9826,                0.43385,                0.02589,                0.01803,                0.00779,                 2.3802,                 3.3208,                 2.3175,              0.0092132,              0.0092132,              0.0092132
                     15,                 2.0361,                 3.0961,                 1.9613,                0.48816,                0.03109,                0.02017,                0.00861,                 2.3917,                 3.3139,                 2.3016,              0.0091477,              0.0091477,              0.0091477
                     16,                 2.0295,                 3.0571,                 1.9511,                0.40119,                0.02683,                0.02095,                0.00924,                 2.4067,                 3.3301,                 2.3068,              0.0090821,              0.0090821,              0.0090821
                     17,                 2.0176,                  3.033,                 1.9379,                0.41989,                0.02945,                0.02233,                0.00977,                 2.3573,                 3.2983,                 2.2824,              0.0090166,              0.0090166,              0.0090166
                     18,                 2.0147,                 3.0155,                 1.9268,                0.38638,                0.03735,                0.02445,                0.01056,                 2.3173,                 3.2229,                  2.264,               0.008951,               0.008951,               0.008951
                     19,                 1.9941,                 2.9804,                 1.9162,                0.37054,                0.04426,                0.02753,                0.01185,                 2.3466,                 3.1636,                 2.2928,              0.0088854,              0.0088854,              0.0088854
                     20,                 1.9809,                 2.9566,                 1.9031,                0.32077,                0.04849,                0.02589,                0.01117,                 2.3256,                 3.1783,                 2.2538,              0.0088199,              0.0088199,              0.0088199
                     21,                 1.9676,                 2.9289,                 1.8969,                0.30959,                0.04324,                0.02708,                0.01178,                 2.3288,                 3.1687,                 2.2351,              0.0087543,              0.0087543,              0.0087543
                     22,                 1.9598,                 2.9238,                  1.884,                0.34134,                0.04643,                   0.03,                0.01271,                 2.3276,                 3.1362,                 2.2432,              0.0086887,              0.0086887,              0.0086887
                     23,                 1.9529,                 2.8969,                  1.878,                0.39089,                0.04633,                0.02885,                0.01297,                  2.327,                 3.1496,                 2.2257,              0.0086232,              0.0086232,              0.0086232
                     24,                 1.9497,                 2.8813,                 1.8688,                0.30152,                0.05317,                0.03137,                0.01405,                 2.3235,                 3.1052,                 2.2035,              0.0085576,              0.0085576,              0.0085576
                     25,                 1.9273,                  2.852,                 1.8585,                0.26076,                0.06395,                0.03391,                0.01516,                  2.257,                 3.0575,                 2.2096,              0.0084921,              0.0084921,              0.0084921
                     26,                  1.927,                 2.8376,                 1.8551,                0.29888,                0.06201,                0.03618,                0.01656,                 2.2457,                 2.9859,                 2.1782,              0.0084265,              0.0084265,              0.0084265
                     27,                 1.9238,                  2.815,                 1.8457,                0.29699,                0.05766,                0.03711,                0.01688,                 2.2333,                 2.9649,                 2.1656,              0.0083609,              0.0083609,              0.0083609
                     28,                  1.918,                 2.8099,                 1.8401,                0.27522,                0.06656,                0.03968,                0.01799,                 2.2248,                 2.9618,                 2.1572,              0.0082954,              0.0082954,              0.0082954
                     29,                 1.9069,                 2.7934,                 1.8348,                0.32764,                 0.0628,                0.04013,                0.01789,                 2.2154,                 2.9115,                 2.1525,              0.0082298,              0.0082298,              0.0082298
                     30,                 1.8949,                 2.7628,                 1.8211,                0.31696,                0.07566,                0.04342,                 0.0197,                 2.1976,                 2.8763,                 2.1354,              0.0081642,              0.0081642,              0.0081642
                     31,                 1.8996,                 2.7656,                 1.8254,                 0.2993,                0.07672,                0.04387,                0.02008,                 2.2045,                 2.8819,                 2.1375,              0.0080987,              0.0080987,              0.0080987
                     32,                 1.8795,                 2.7388,                 1.8158,                0.27979,                0.07131,                0.04328,                 0.0201,                 2.1764,                 2.8619,                 2.1234,              0.0080331,              0.0080331,              0.0080331
                     33,                  1.879,                 2.7357,                 1.8087,                0.31155,                0.07632,                0.04491,                0.02081,                 2.2006,                 2.8683,                 2.1266,              0.0079675,              0.0079675,              0.0079675
                     34,                 1.8791,                 2.7273,                 1.8025,                0.33426,                0.07822,                0.04657,                0.02156,                 2.1781,                  2.829,                 2.1013,               0.007902,               0.007902,               0.007902
                     35,                 1.8694,                 2.7112,                 1.7976,                0.30541,                0.08153,                0.04833,                0.02238,                 2.1737,                 2.8101,                 2.1096,              0.0078364,              0.0078364,              0.0078364
                     36,                  1.858,                 2.7119,                 1.7959,                0.30768,                0.08296,                0.04993,                0.02273,                 2.1682,                  2.808,                  2.102,              0.0077709,              0.0077709,              0.0077709
                     37,                 1.8609,                 2.6916,                 1.7887,                0.30599,                0.07794,                0.04981,                0.02301,                 2.1601,                 2.8129,                 2.0904,              0.0077053,              0.0077053,              0.0077053
                     38,                 1.8567,                 2.6744,                 1.7845,                0.32447,                0.08931,                0.05318,                0.02448,                  2.154,                 2.7676,                 2.0852,              0.0076397,              0.0076397,              0.0076397
                     39,                 1.8407,                 2.6743,                 1.7796,                0.30041,                0.08677,                0.05255,                0.02446,                 2.1466,                 2.7764,                 2.0791,              0.0075742,              0.0075742,              0.0075742
                     40,                  1.846,                 2.6525,                  1.776,                0.27249,                0.09435,                0.05566,                0.02572,                 2.1528,                 2.7564,                 2.0774,              0.0075086,              0.0075086,              0.0075086
                     41,                 1.8426,                 2.6582,                 1.7733,                0.32665,                 0.0964,                 0.0591,                 0.0273,                 2.1425,                 2.7384,                 2.0762,               0.007443,               0.007443,               0.007443
                     42,                 1.8384,                 2.6365,                 1.7642,                0.31181,                0.09897,                0.06006,                0.02756,                 2.1382,                  2.703,                 2.0684,              0.0073775,              0.0073775,              0.0073775
                     43,                 1.8314,                 2.6341,                 1.7637,                0.30079,                0.10066,                0.06204,                0.02896,                 2.1336,                 2.7065,                  2.075,              0.0073119,              0.0073119,              0.0073119
                     44,                 1.8223,                 2.6261,                 1.7569,                0.29371,                0.09959,                0.06305,                0.02903,                 2.1357,                 2.6821,                 2.0617,              0.0072464,              0.0072464,              0.0072464
                     45,                 1.8248,                 2.6054,                 1.7527,                0.27476,                0.10065,                0.06538,                0.03067,                 2.1147,                 2.6671,                 2.0542,              0.0071808,              0.0071808,              0.0071808
                     46,                  1.824,                 2.6098,                 1.7482,                0.25535,                0.10463,                0.06695,                0.03103,                  2.113,                 2.6626,                 2.0504,              0.0071152,              0.0071152,              0.0071152
                     47,                 1.8174,                 2.5918,                  1.745,                0.23635,                0.10753,                0.06869,                0.03145,                 2.0899,                 2.6361,                 2.0462,              0.0070497,              0.0070497,              0.0070497
                     48,                 1.8029,                 2.5815,                 1.7362,                0.25696,                0.10708,                0.06832,                0.03171,                 2.0949,                  2.643,                 2.0466,              0.0069841,              0.0069841,              0.0069841
                     49,                 1.8033,                 2.5624,                 1.7331,                0.27113,                0.10893,                0.07071,                 0.0325,                 2.0982,                 2.6237,                 2.0468,              0.0069185,              0.0069185,              0.0069185
                     50,                 1.8003,                 2.5717,                 1.7349,                0.25107,                0.11006,                0.07189,                 0.0335,                 2.0757,                 2.6147,                 2.0369,               0.006853,               0.006853,               0.006853
                     51,                 1.8055,                 2.5601,                 1.7333,                 0.2731,                0.11458,                0.07613,                 0.0358,                 2.0697,                 2.5935,                 2.0276,              0.0067874,              0.0067874,              0.0067874
                     52,                 1.7948,                 2.5518,                 1.7268,                0.25153,                0.11558,                0.07519,                0.03543,                 2.0783,                 2.5928,                   2.03,              0.0067219,              0.0067219,              0.0067219
                     53,                 1.7929,                  2.538,                 1.7216,                0.25574,                0.11557,                 0.0766,                0.03603,                 2.0754,                 2.5837,                 2.0258,              0.0066563,              0.0066563,              0.0066563
                     54,                 1.7921,                 2.5211,                 1.7187,                0.26959,                0.11381,                0.07743,                0.03648,                 2.0688,                 2.5758,                 2.0264,              0.0065907,              0.0065907,              0.0065907
                     55,                 1.7776,                 2.5142,                 1.7138,                0.27973,                0.11818,                0.07847,                0.03689,                 2.0673,                   2.57,                 2.0245,              0.0065252,              0.0065252,              0.0065252
                     56,                 1.7837,                  2.528,                 1.7158,                0.27042,                0.11588,                0.07875,                0.03702,                 2.0729,                 2.5628,                 2.0253,              0.0064596,              0.0064596,              0.0064596
                     57,                 1.7833,                 2.5053,                 1.7099,                0.30475,                0.11926,                0.08148,                0.03827,                 2.0664,                 2.5538,                 2.0227,               0.006394,               0.006394,               0.006394
                     58,                 1.7678,                 2.4896,                 1.7004,                0.29257,                0.12102,                0.08276,                0.03898,                 2.0599,                 2.5506,                 2.0233,              0.0063285,              0.0063285,              0.0063285
                     59,                 1.7714,                  2.492,                 1.7061,                0.27721,                0.12256,                0.08341,                0.03944,                 2.0559,                 2.5349,                 2.0191,              0.0062629,              0.0062629,              0.0062629
                     60,                 1.7743,                 2.4968,                 1.7069,                0.29695,                0.12493,                0.08454,                0.04015,                 2.0569,                 2.5276,                  2.017,              0.0061974,              0.0061974,              0.0061974
                     61,                 1.7662,                 2.4829,                 1.6994,                0.27893,                0.12484,                0.08431,                0.04016,                 2.0517,                 2.5235,                 2.0121,              0.0061318,              0.0061318,              0.0061318
                     62,                 1.7617,                 2.4793,                 1.6988,                0.29282,                0.12706,                0.08665,                0.04121,                 2.0452,                  2.521,                 2.0091,              0.0060662,              0.0060662,              0.0060662
                     63,                  1.764,                 2.4672,                 1.6919,                0.27221,                0.12878,                0.08859,                0.04206,                 2.0439,                 2.5156,                 2.0085,              0.0060007,              0.0060007,              0.0060007
                     64,                 1.7562,                 2.4711,                 1.6935,                0.25558,                 0.1317,                0.08938,                0.04224,                 2.0429,                 2.5111,                 2.0091,              0.0059351,              0.0059351,              0.0059351
                     65,                 1.7584,                 2.4641,                 1.6909,                0.26534,                0.12979,                0.08958,                0.04252,                 2.0436,                 2.5046,                 2.0063,              0.0058695,              0.0058695,              0.0058695
                     66,                 1.7462,                  2.439,                 1.6878,                0.29565,                0.13047,                0.09082,                0.04297,                 2.0367,                 2.5013,                 2.0013,               0.005804,               0.005804,               0.005804
                     67,                 1.7523,                 2.4364,                 1.6851,                0.27865,                0.13379,                0.09273,                0.04394,                 2.0352,                  2.492,                 2.0027,              0.0057384,              0.0057384,              0.0057384
                     68,                 1.7427,                 2.4377,                 1.6801,                0.26917,                0.13175,                0.09425,                0.04467,                 2.0311,                 2.4834,                 1.9997,              0.0056728,              0.0056728,              0.0056728
                     69,                 1.7504,                 2.4228,                 1.6852,                0.26743,                0.13462,                0.09505,                0.04546,                 2.0253,                 2.4815,                 1.9931,              0.0056073,              0.0056073,              0.0056073
                     70,                 1.7426,                 2.4172,                 1.6759,                0.26306,                0.13512,                0.09509,                0.04555,                 2.0199,                 2.4793,                 1.9905,              0.0055417,              0.0055417,              0.0055417
                     71,                 1.7442,                 2.4152,                 1.6742,                0.25805,                0.13738,                0.09541,                0.04629,                 2.0176,                 2.4778,                 1.9879,              0.0054762,              0.0054762,              0.0054762
                     72,                 1.7323,                 2.4184,                 1.6738,                0.24996,                0.13583,                0.09608,                0.04657,                 2.0126,                  2.473,                 1.9826,              0.0054106,              0.0054106,              0.0054106
                     73,                 1.7327,                 2.4172,                 1.6733,                0.25117,                 0.1381,                0.09691,                0.04701,                 2.0115,                 2.4694,                 1.9824,               0.005345,               0.005345,               0.005345
                     74,                 1.7301,                 2.3845,                 1.6588,                0.26816,                0.13773,                0.09777,                0.04764,                 2.0092,                 2.4628,                 1.9794,              0.0052795,              0.0052795,              0.0052795
                     75,                 1.7335,                 2.3921,                 1.6678,                0.25315,                0.13921,                0.09819,                0.04765,                 2.0066,                 2.4595,                 1.9795,              0.0052139,              0.0052139,              0.0052139
                     76,                   1.73,                 2.3893,                 1.6683,                0.25629,                 0.1391,                0.09906,                0.04839,                  2.001,                 2.4556,                 1.9775,              0.0051483,              0.0051483,              0.0051483
                     77,                 1.7294,                 2.3863,                 1.6621,                 0.2613,                0.13973,                0.09979,                0.04892,                      2,                 2.4523,                 1.9757,              0.0050828,              0.0050828,              0.0050828
                     78,                 1.7263,                 2.3726,                 1.6572,                0.26014,                0.14042,                0.10005,                0.04895,                  1.998,                  2.448,                 1.9721,              0.0050172,              0.0050172,              0.0050172
                     79,                  1.723,                 2.3655,                 1.6546,                0.26488,                0.14111,                0.10083,                0.04953,                 1.9961,                 2.4432,                  1.969,              0.0049517,              0.0049517,              0.0049517
                     80,                 1.7284,                 2.3781,                  1.653,                0.26324,                0.14186,                0.10179,                0.05007,                 1.9951,                 2.4386,                  1.968,              0.0048861,              0.0048861,              0.0048861
                     81,                 1.7149,                  2.351,                 1.6496,                0.26352,                0.14317,                0.10259,                0.05065,                 1.9943,                 2.4332,                 1.9674,              0.0048205,              0.0048205,              0.0048205
                     82,                 1.7077,                 2.3546,                  1.646,                0.26278,                0.14416,                0.10345,                 0.0511,                 1.9938,                 2.4294,                 1.9661,               0.004755,               0.004755,               0.004755
                     83,                 1.7097,                 2.3407,                 1.6464,                 0.2627,                0.14485,                0.10422,                0.05127,                 1.9916,                 2.4252,                 1.9647,              0.0046894,              0.0046894,              0.0046894
                     84,                 1.7171,                 2.3432,                 1.6497,                0.26829,                0.14543,                0.10542,                0.05192,                   1.99,                 2.4207,                 1.9643,              0.0046238,              0.0046238,              0.0046238
                     85,                 1.7133,                 2.3349,                 1.6459,                0.27432,                0.14486,                0.10546,                 0.0521,                 1.9867,                 2.4179,                 1.9624,              0.0045583,              0.0045583,              0.0045583
                     86,                 1.7108,                 2.3356,                 1.6448,                0.26976,                0.14579,                  0.106,                0.05259,                 1.9852,                 2.4151,                 1.9615,              0.0044927,              0.0044927,              0.0044927
                     87,                 1.7049,                 2.3372,                 1.6374,                0.27296,                0.14575,                0.10648,                0.05296,                 1.9847,                 2.4125,                 1.9604,              0.0044272,              0.0044272,              0.0044272
                     88,                 1.7106,                 2.3283,                 1.6374,                0.27341,                0.14692,                0.10698,                 0.0532,                 1.9832,                 2.4108,                 1.9588,              0.0043616,              0.0043616,              0.0043616
                     89,                 1.7057,                 2.3274,                 1.6408,                0.27571,                0.14767,                0.10757,                0.05356,                  1.981,                 2.4087,                 1.9568,               0.004296,               0.004296,               0.004296
                     90,                 1.7027,                 2.3173,                 1.6359,                0.27114,                0.14792,                0.10817,                0.05393,                 1.9792,                 2.4057,                 1.9548,              0.0042305,              0.0042305,              0.0042305
                     91,                 1.7002,                 2.3022,                 1.6328,                0.27146,                0.14708,                0.10852,                0.05423,                 1.9776,                 2.4035,                 1.9537,              0.0041649,              0.0041649,              0.0041649
                     92,                 1.6915,                 2.2981,                 1.6348,                0.26944,                0.14961,                0.10889,                0.05444,                 1.9771,                 2.4024,                 1.9531,              0.0040993,              0.0040993,              0.0040993
                     93,                 1.6953,                 2.3045,                 1.6324,                0.27168,                0.14827,                0.10949,                0.05466,                 1.9766,                 2.4002,                 1.9527,              0.0040338,              0.0040338,              0.0040338
                     94,                 1.6952,                 2.2993,                 1.6272,                0.27367,                0.14815,                 0.1099,                0.05496,                 1.9759,                 2.3993,                 1.9522,              0.0039682,              0.0039682,              0.0039682
                     95,                 1.6849,                 2.2839,                 1.6236,                0.27094,                0.14991,                0.11031,                0.05527,                 1.9747,                 2.3967,                 1.9515,              0.0039026,              0.0039026,              0.0039026
                     96,                 1.6904,                  2.273,                 1.6249,                0.27054,                0.14909,                0.11068,                0.05541,                 1.9739,                 2.3948,                 1.9505,              0.0038371,              0.0038371,              0.0038371
                     97,                 1.6841,                 2.2847,                 1.6175,                0.27068,                 0.1499,                0.11118,                 0.0558,                 1.9723,                 2.3919,                 1.9495,              0.0037715,              0.0037715,              0.0037715
                     98,                 1.6851,                  2.275,                 1.6212,                 0.2733,                0.14962,                 0.1114,                0.05588,                 1.9716,                 2.3904,                 1.9489,               0.003706,               0.003706,               0.003706
