                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5646,                 5.4866,                 4.0778,                0.00106,                0.00717,                0.00059,                0.00016,                 3.2912,                 4.7998,                 3.8124,               0.003328,               0.003328,               0.003328
                      1,                 2.9024,                 4.7442,                 3.1912,                 0.0042,                0.02668,                0.00297,                0.00103,                 2.6939,                 4.4086,                 3.0452,              0.0066177,              0.0066177,              0.0066177
                      2,                 2.3741,                 4.2791,                 2.5547,                 0.3585,                 0.0171,                0.00489,                0.00204,                 2.4536,                 4.1022,                  2.577,              0.0098636,              0.0098636,              0.0098636
                      3,                 2.1847,                 3.9918,                 2.2967,                0.36455,                0.01965,                0.01224,                0.00613,                  2.273,                 3.8271,                 2.3771,              0.0098033,              0.0098033,              0.0098033
                      4,                 2.0851,                 3.7712,                  2.167,                0.38157,                 0.0309,                 0.0166,                0.00777,                 2.1864,                 3.6775,                 2.2614,              0.0098033,              0.0098033,              0.0098033
                      5,                 2.0216,                 3.6055,                 2.0842,                0.43651,                0.03961,                0.02287,                0.01042,                 2.0964,                 3.5055,                  2.222,              0.0097377,              0.0097377,              0.0097377
                      6,                 1.9697,                 3.4817,                 2.0382,                 0.3651,                0.05182,                0.03188,                0.01541,                 2.0543,                 3.3249,                 2.1503,              0.0096722,              0.0096722,              0.0096722
                      7,                 1.9398,                 3.3757,                 1.9998,                0.32832,                0.05936,                0.03627,                 0.0177,                 2.0201,                 3.2943,                 2.1409,              0.0096066,              0.0096066,              0.0096066
                      8,                 1.9042,                 3.3142,                 1.9688,                0.30348,                0.06792,                0.04099,                0.02027,                 1.9928,                 3.2979,                 2.1137,              0.0095411,              0.0095411,              0.0095411
                      9,                 1.8811,                 3.2401,                 1.9412,                0.27829,                 0.0838,                0.04639,                0.02294,                 1.9694,                 3.1534,                 2.0825,              0.0094755,              0.0094755,              0.0094755
                     10,                 1.8567,                 3.1852,                 1.9206,                0.27096,                0.08777,                0.05091,                0.02521,                 1.9517,                 3.0844,                 2.0298,              0.0094099,              0.0094099,              0.0094099
                     11,                 1.8485,                 3.1269,                 1.8931,                0.23162,                0.09184,                0.05432,                0.02782,                 1.9223,                 3.0499,                   2.04,              0.0093444,              0.0093444,              0.0093444
                     12,                 1.8293,                 3.0807,                 1.8832,                 0.2557,                0.10191,                0.06182,                0.03158,                 1.9112,                 2.9857,                 2.0046,              0.0092788,              0.0092788,              0.0092788
                     13,                 1.8114,                 3.0447,                 1.8686,                0.19232,                0.10035,                 0.0632,                0.03286,                 1.8954,                 2.9732,                 1.9989,              0.0092132,              0.0092132,              0.0092132
                     14,                 1.7908,                 2.9973,                  1.845,                0.24704,                0.09793,                0.06234,                0.03201,                 1.8956,                 3.0349,                 1.9809,              0.0091477,              0.0091477,              0.0091477
                     15,                 1.7875,                 2.9647,                 1.8421,                0.19228,                0.10948,                 0.0692,                0.03541,                 1.8821,                 2.9376,                 1.9553,              0.0090821,              0.0090821,              0.0090821
                     16,                 1.7707,                 2.9403,                 1.8261,                0.25531,                0.10943,                0.07204,                 0.0374,                 1.8508,                 2.9446,                 1.9644,              0.0090166,              0.0090166,              0.0090166
