                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6066,                 5.4348,                 4.0951,                0.00057,                0.00827,                0.00033,                  8e-05,                 3.3498,                 4.7227,                 3.8623,               0.003328,               0.003328,               0.003328
                      1,                 3.1616,                 4.9407,                 3.4445,                0.00142,                0.01259,                0.00089,                0.00022,                 2.9953,                 4.5005,                 3.4088,              0.0066177,              0.0066177,              0.0066177
                      2,                 2.6552,                 4.5869,                 2.8162,                0.00194,                0.03575,                0.00258,                  0.001,                 2.6677,                 4.2399,                 2.8632,              0.0098636,              0.0098636,              0.0098636
                      3,                 2.3441,                 4.2127,                 2.4278,                0.39958,                0.01197,                0.00459,                0.00183,                 2.5298,                  4.008,                 2.5792,              0.0098033,              0.0098033,              0.0098033
                      4,                 2.2106,                 3.9505,                 2.2719,                0.58079,                0.01579,                0.01265,                0.00542,                 2.2911,                 3.7313,                 2.4031,              0.0098033,              0.0098033,              0.0098033
                      5,                 2.1298,                 3.7688,                 2.1795,                0.48345,                0.02899,                0.01735,                0.00737,                 2.2145,                 3.6484,                 2.3534,              0.0097377,              0.0097377,              0.0097377
                      6,                 2.0734,                 3.6414,                 2.1228,                0.44089,                0.03376,                0.02332,                0.01018,                 2.1735,                 3.5546,                 2.3023,              0.0096722,              0.0096722,              0.0096722
                      7,                 2.0362,                 3.5289,                  2.078,                 0.3849,                0.04782,                 0.0283,                 0.0129,                 2.1295,                 3.4664,                 2.2637,              0.0096066,              0.0096066,              0.0096066
                      8,                 1.9972,                 3.4695,                  2.041,                0.30844,                0.04612,                0.03096,                0.01427,                 2.1083,                 3.4194,                 2.2082,              0.0095411,              0.0095411,              0.0095411
                      9,                 1.9781,                  3.398,                 2.0154,                0.28319,                0.06385,                 0.0371,                0.01704,                 2.0808,                 3.3075,                 2.1748,              0.0094755,              0.0094755,              0.0094755
                     10,                 1.9496,                 3.3423,                 1.9959,                 0.2829,                0.06174,                 0.0403,                0.01887,                 2.0629,                 3.2795,                 2.1496,              0.0094099,              0.0094099,              0.0094099
                     11,                 1.9446,                 3.2848,                 1.9651,                0.31551,                0.06599,                0.04307,                0.02029,                 2.0284,                 3.2769,                 2.1208,              0.0093444,              0.0093444,              0.0093444
                     12,                 1.9323,                 3.2417,                  1.959,                0.26236,                0.07416,                0.04769,                0.02286,                 2.0124,                 3.1756,                 2.1018,              0.0092788,              0.0092788,              0.0092788
                     13,                 1.9071,                 3.2134,                 1.9438,                0.23506,                 0.0806,                0.05069,                0.02414,                 2.0148,                 3.1994,                  2.093,              0.0092132,              0.0092132,              0.0092132
                     14,                 1.8903,                 3.1685,                 1.9262,                0.25703,                 0.0868,                0.05561,                0.02679,                 1.9936,                 3.1375,                 2.0831,              0.0091477,              0.0091477,              0.0091477
                     15,                  1.887,                 3.1409,                 1.9184,                0.24565,                0.08397,                0.05894,                0.02876,                 1.9763,                 3.1145,                 2.0711,              0.0090821,              0.0090821,              0.0090821
                     16,                  1.873,                  3.115,                 1.9034,                0.25925,                0.08521,                0.06106,                0.02975,                 1.9706,                 3.1478,                 2.0834,              0.0090166,              0.0090166,              0.0090166
                     17,                 1.8686,                 3.0935,                 1.8965,                0.25464,                0.09442,                0.06276,                0.03056,                 1.9718,                 3.0748,                 2.0546,               0.008951,               0.008951,               0.008951
                     18,                  1.858,                 3.0571,                 1.8877,                0.22404,                0.09625,                 0.0652,                0.03277,                  1.941,                 3.0541,                 2.0423,              0.0088854,              0.0088854,              0.0088854
                     19,                 1.8392,                 3.0356,                  1.874,                0.26141,                0.10096,                0.06904,                0.03502,                 1.9341,                 3.0025,                  2.011,              0.0088199,              0.0088199,              0.0088199
                     20,                 1.8277,                 3.0064,                 1.8648,                0.23327,                0.10981,                0.07314,                0.03671,                 1.9247,                 2.9839,                 2.0119,              0.0087543,              0.0087543,              0.0087543
                     21,                 1.8291,                 3.0062,                 1.8602,                0.23101,                0.11559,                0.07584,                0.03822,                 1.9212,                 2.9625,                  1.995,              0.0086887,              0.0086887,              0.0086887
